Stamnummer,Thuisploeg,Uitploeg
4111,Yellow Blue Supporterskring Beveren,Yellow Blue Supporterskring Beveren
4113,Racing Club Marcinelle,Racing Club Marcinelle
4114,Racing Nieuwrode,Racing Nieuwrode
4116,KAA Gent Ladies,KAA Gent Ladies
4117,Cosmos Brussels,Cosmos Brussels
4121,Union Sportive de Neuville,Union Sportive de Neuville
4123,D.FUFO Beringen,D.FUFO Beringen
4126,Union Sporting Club Jemappes,Union Sporting Club Jemappes
4137,Étoile Verviétoise,Étoile Verviétoise
4138,AS Brussels City,AS Brussels City
4142,Jong Antwerpen Sport,Jong Antwerpen Sport
4146,RWD Molenbeek Girls,RWD Molenbeek Girls
4148,Sporting Club Kelmis,Sporting Club Kelmis
4165,Anderlecht SCB,Anderlecht SCB
4167,Fusion Oostende,Fusion Oostende
4168,Union Africa FC Bruxelles,Union Africa FC Bruxelles
4173,Antwerp Piranhas Academy,Antwerp Piranhas Academy
4189,Belcika Beringen Fenerbahce Dernegi,Belcika Beringen Fenerbahce Dernegi
4202,Anneessens 25 Brussels,Anneessens 25 Brussels
4207,BUFC Ladies Brussels,BUFC Ladies Brussels
4226,FC Antwerp Talents,FC Antwerp Talents
4238,FC Suraye United Mechelen,FC Suraye United Mechelen
4244,FC Antwerpen Noord,FC Antwerpen Noord
4253,Union Sportive Musson,Union Sportive Musson
4254,FC Porto Brussels,FC Porto Brussels
4255,Haren,Haren
4262,Union Sportive SG Anderlecht,Union Sportive SG Anderlecht
4269,Sporting Club Duffel,Sporting Club Duffel
4274,Sporting Club Farciennes,Sporting Club Farciennes
4278,Foot Fun Family Brussels,Foot Fun Family Brussels
4301,Daring Club Wezembeek-Oppem,Daring Club Wezembeek-Oppem
4302,Inter Brussels,Inter Brussels
4306,Carolo Football Charleroi,Carolo Football Charleroi
4311,Antwerp Diamonds FC,Antwerp Diamonds FC
4322,FC Wolves Brussels,FC Wolves Brussels
4327,Gent,Gent
4333,Tilleur,Tilleur
4335,Moeskroen,Moeskroen
4338,Gent,Gent
