Seizoen,Speeldag,Datum,Tijdstip,Match_ID,Thuisploeg_stamnummer,Thuisploeg_roepnaam,Uitploeg_stamnummer,Uitploeg_roepnaam,Resultaat_Thuisploeg,Resultaat_Uitploeg
1960-1961,1,1960-09-04,15:00,4008203,373,Sint-Truidense VV,16,Standard Luik,0,2
1960-1961,1,1960-09-04,15:00,4008204,90,Eendracht Aalst,1,Royal Antwerp FC,3,2
1960-1961,1,1960-09-04,15:00,4008205,246,Olympic Charleroi,35,RSC Anderlecht,0,7
1960-1961,1,1960-09-04,15:00,4008206,13,Beerschot,33,Verviétois,1,0
1960-1961,1,1960-09-04,15:00,4008207,3,Club Brugge,10,Union Saint-Gilloise,1,2
1960-1961,1,1960-09-04,15:00,4008208,2,Daring Club Brussel,3434,Patro Eisden,2,1
1960-1961,1,1960-09-04,15:00,4008209,4,RFC Luik,7,KAA Gent,2,1
1960-1961,1,1960-09-04,15:00,4008210,553,Waterschei SV Thor,30,Lierse SK,5,0
1960-1961,2,1960-09-11,15:00,4008211,16,Standard Luik,90,Eendracht Aalst,3,0
1960-1961,2,1960-09-11,15:00,4008212,35,RSC Anderlecht,4,RFC Luik,2,3
1960-1961,2,1960-09-11,15:00,4008213,1,Royal Antwerp FC,2,Daring Club Brussel,2,3
1960-1961,2,1960-09-11,15:00,4008214,7,KAA Gent,13,Beerschot,3,0
1960-1961,2,1960-09-11,15:00,4008215,3434,Patro Eisden,3,Club Brugge,1,1
1960-1961,2,1960-09-11,15:00,4008216,30,Lierse SK,246,Olympic Charleroi,1,0
1960-1961,2,1960-09-11,15:00,4008217,10,Union Saint-Gilloise,373,Sint-Truidense VV,3,0
1960-1961,2,1960-09-11,15:00,4008218,33,Verviétois,553,Waterschei SV Thor,1,3
1960-1961,3,1960-09-18,15:00,4008219,16,Standard Luik,246,Olympic Charleroi,0,0
1960-1961,3,1960-09-18,15:00,4008220,90,Eendracht Aalst,35,RSC Anderlecht,0,0
1960-1961,3,1960-09-18,15:00,4008221,10,Union Saint-Gilloise,1,Royal Antwerp FC,0,1
1960-1961,3,1960-09-18,15:00,4008222,13,Beerschot,30,Lierse SK,3,0
1960-1961,3,1960-09-18,15:00,4008223,3,Club Brugge,33,Verviétois,1,1
1960-1961,3,1960-09-18,15:00,4008224,2,Daring Club Brussel,7,KAA Gent,3,1
1960-1961,3,1960-09-18,15:00,4008225,373,Sint-Truidense VV,3434,Patro Eisden,2,0
1960-1961,3,1960-09-18,15:00,4008226,553,Waterschei SV Thor,4,RFC Luik,0,1
1960-1961,4,1960-09-25,15:00,4008227,3434,Patro Eisden,16,Standard Luik,0,3
1960-1961,4,1960-09-25,15:00,4008228,33,Verviétois,90,Eendracht Aalst,0,4
1960-1961,4,1960-09-25,15:00,4008229,35,RSC Anderlecht,553,Waterschei SV Thor,3,1
1960-1961,4,1960-09-25,15:00,4008230,1,Royal Antwerp FC,3,Club Brugge,0,0
1960-1961,4,1960-09-25,15:00,4008231,246,Olympic Charleroi,13,Beerschot,4,1
1960-1961,4,1960-09-25,15:00,4008232,30,Lierse SK,2,Daring Club Brussel,3,4
1960-1961,4,1960-09-25,15:00,4008233,7,KAA Gent,373,Sint-Truidense VV,3,0
1960-1961,4,1960-09-25,15:00,4008234,4,RFC Luik,10,Union Saint-Gilloise,2,1
1960-1961,5,1960-10-09,15:00,4008235,16,Standard Luik,33,Verviétois,5,2
1960-1961,5,1960-10-09,15:00,4008236,10,Union Saint-Gilloise,90,Eendracht Aalst,5,2
1960-1961,5,1960-10-09,15:00,4008237,373,Sint-Truidense VV,35,RSC Anderlecht,2,2
1960-1961,5,1960-10-09,15:00,4008238,13,Beerschot,1,Royal Antwerp FC,2,1
1960-1961,5,1960-10-09,15:00,4008239,3,Club Brugge,553,Waterschei SV Thor,0,0
1960-1961,5,1960-10-09,15:00,4008240,2,Daring Club Brussel,4,RFC Luik,1,1
1960-1961,5,1960-10-09,15:00,4008241,3434,Patro Eisden,30,Lierse SK,0,2
1960-1961,5,1960-10-09,15:00,4008242,7,KAA Gent,246,Olympic Charleroi,1,1
1960-1961,6,1960-10-16,15:00,4008243,4,RFC Luik,16,Standard Luik,0,0
1960-1961,6,1960-10-16,15:00,4008244,90,Eendracht Aalst,373,Sint-Truidense VV,3,0
1960-1961,6,1960-10-16,15:00,4008245,35,RSC Anderlecht,30,Lierse SK,4,0
1960-1961,6,1960-10-16,15:00,4008246,1,Royal Antwerp FC,3434,Patro Eisden,2,2
1960-1961,6,1960-10-16,15:00,4008247,3,Club Brugge,13,Beerschot,3,2
1960-1961,6,1960-10-16,15:00,4008248,246,Olympic Charleroi,2,Daring Club Brussel,2,1
1960-1961,6,1960-10-16,15:00,4008249,553,Waterschei SV Thor,7,KAA Gent,2,2
1960-1961,6,1960-10-16,15:00,4008250,33,Verviétois,10,Union Saint-Gilloise,1,0
1960-1961,7,1960-10-23,15:00,4008251,16,Standard Luik,35,RSC Anderlecht,2,1
1960-1961,7,1960-10-23,15:00,4008252,90,Eendracht Aalst,3,Club Brugge,3,1
1960-1961,7,1960-10-23,15:00,4008253,1,Royal Antwerp FC,33,Verviétois,4,1
1960-1961,7,1960-10-23,15:00,4008254,2,Daring Club Brussel,13,Beerschot,0,0
1960-1961,7,1960-10-23,15:00,4008255,3434,Patro Eisden,553,Waterschei SV Thor,2,1
1960-1961,7,1960-10-23,15:00,4008256,30,Lierse SK,7,KAA Gent,1,0
1960-1961,7,1960-10-23,15:00,4008257,373,Sint-Truidense VV,4,RFC Luik,1,0
1960-1961,7,1960-10-23,15:00,4008258,10,Union Saint-Gilloise,246,Olympic Charleroi,1,0
1960-1961,8,1960-11-06,15:00,4008259,13,Beerschot,16,Standard Luik,1,2
1960-1961,8,1960-11-06,15:00,4008260,7,KAA Gent,90,Eendracht Aalst,1,2
1960-1961,8,1960-11-06,15:00,4008261,35,RSC Anderlecht,33,Verviétois,2,2
1960-1961,8,1960-11-06,15:00,4008262,553,Waterschei SV Thor,1,Royal Antwerp FC,3,1
1960-1961,8,1960-11-06,15:00,4008263,4,RFC Luik,3,Club Brugge,1,1
1960-1961,8,1960-11-06,15:00,4008264,2,Daring Club Brussel,10,Union Saint-Gilloise,1,3
1960-1961,8,1960-11-06,15:00,4008265,246,Olympic Charleroi,3434,Patro Eisden,1,0
1960-1961,8,1960-11-06,15:00,4008266,30,Lierse SK,373,Sint-Truidense VV,2,0
1960-1961,9,1960-11-13,15:00,4008267,16,Standard Luik,30,Lierse SK,2,1
1960-1961,9,1960-11-13,15:00,4008268,90,Eendracht Aalst,553,Waterschei SV Thor,3,1
1960-1961,9,1960-11-13,15:00,4008269,10,Union Saint-Gilloise,35,RSC Anderlecht,0,2
1960-1961,9,1960-11-13,15:00,4008270,1,Royal Antwerp FC,7,KAA Gent,1,3
1960-1961,9,1960-11-13,15:00,4008271,3434,Patro Eisden,13,Beerschot,0,1
1960-1961,9,1960-11-13,15:00,4008272,3,Club Brugge,2,Daring Club Brussel,4,2
1960-1961,9,1960-11-13,15:00,4008273,33,Verviétois,4,RFC Luik,0,1
1960-1961,9,1960-11-13,15:00,4008274,373,Sint-Truidense VV,246,Olympic Charleroi,1,1
1960-1961,10,1960-11-27,15:00,4008275,7,KAA Gent,16,Standard Luik,2,1
1960-1961,10,1960-11-27,15:00,4008276,13,Beerschot,90,Eendracht Aalst,9,2
1960-1961,10,1960-11-27,15:00,4008277,35,RSC Anderlecht,1,Royal Antwerp FC,3,2
1960-1961,10,1960-11-27,15:00,4008278,246,Olympic Charleroi,3,Club Brugge,3,0
1960-1961,10,1960-11-27,15:00,4008279,2,Daring Club Brussel,33,Verviétois,2,0
1960-1961,10,1960-11-27,15:00,4008280,4,RFC Luik,3434,Patro Eisden,3,1
1960-1961,10,1960-11-27,15:00,4008281,30,Lierse SK,10,Union Saint-Gilloise,3,2
1960-1961,10,1960-11-27,15:00,4008282,553,Waterschei SV Thor,373,Sint-Truidense VV,2,1
1960-1961,11,1960-12-04,14:45,4008283,90,Eendracht Aalst,3434,Patro Eisden,2,0
1960-1961,11,1960-12-04,14:45,4008284,4,RFC Luik,13,Beerschot,3,2
1960-1961,11,1961-03-12,15:00,4008376,3,Club Brugge,373,Sint-Truidense VV,2,0
1960-1961,11,1961-03-12,15:00,4008379,553,Waterschei SV Thor,246,Olympic Charleroi,5,0
1960-1961,11,1961-03-12,16:00,4008375,10,Union Saint-Gilloise,16,Standard Luik,0,0
1960-1961,11,1961-03-19,15:00,4008381,1,Royal Antwerp FC,30,Lierse SK,2,1
1960-1961,11,1961-03-29,19:30,4008391,35,RSC Anderlecht,2,Daring Club Brussel,1,0
1960-1961,11,1961-04-02,15:00,4008394,33,Verviétois,7,KAA Gent,2,2
1960-1961,12,1960-12-11,14:45,4008285,16,Standard Luik,553,Waterschei SV Thor,1,2
1960-1961,12,1960-12-11,14:45,4008286,90,Eendracht Aalst,4,RFC Luik,2,2
1960-1961,12,1960-12-11,14:45,4008287,3434,Patro Eisden,35,RSC Anderlecht,0,1
1960-1961,12,1960-12-11,14:45,4008288,1,Royal Antwerp FC,246,Olympic Charleroi,1,0
1960-1961,12,1960-12-11,14:45,4008289,10,Union Saint-Gilloise,13,Beerschot,1,3
1960-1961,12,1960-12-11,14:45,4008290,3,Club Brugge,7,KAA Gent,0,1
1960-1961,12,1960-12-11,14:45,4008291,373,Sint-Truidense VV,2,Daring Club Brussel,1,0
1960-1961,12,1960-12-11,14:45,4008292,33,Verviétois,30,Lierse SK,2,0
1960-1961,13,1960-12-18,14:45,4008293,2,Daring Club Brussel,16,Standard Luik,3,1
1960-1961,13,1960-12-18,14:45,4008294,30,Lierse SK,90,Eendracht Aalst,3,1
1960-1961,13,1960-12-18,14:45,4008295,35,RSC Anderlecht,3,Club Brugge,0,0
1960-1961,13,1960-12-18,14:45,4008296,4,RFC Luik,1,Royal Antwerp FC,1,1
1960-1961,13,1960-12-18,14:45,4008297,13,Beerschot,373,Sint-Truidense VV,1,1
1960-1961,13,1960-12-18,14:45,4008298,7,KAA Gent,3434,Patro Eisden,1,1
1960-1961,13,1960-12-18,14:45,4008299,246,Olympic Charleroi,33,Verviétois,0,0
1960-1961,13,1960-12-18,14:45,4008300,553,Waterschei SV Thor,10,Union Saint-Gilloise,4,0
1960-1961,14,1960-12-24,17:00,4008301,13,Beerschot,35,RSC Anderlecht,1,0
1960-1961,14,1960-12-24,17:00,4008302,7,KAA Gent,10,Union Saint-Gilloise,1,3
1960-1961,14,1960-12-25,14:45,4008303,373,Sint-Truidense VV,1,Royal Antwerp FC,1,0
1960-1961,14,1960-12-25,14:45,4008304,2,Daring Club Brussel,553,Waterschei SV Thor,3,0
1960-1961,14,1961-03-01,19:00,4008366,16,Standard Luik,3,Club Brugge,2,2
1960-1961,14,1961-03-12,15:00,4008377,3434,Patro Eisden,33,Verviétois,3,2
1960-1961,14,1961-03-12,15:00,4008378,30,Lierse SK,4,RFC Luik,1,1
1960-1961,14,1961-03-18,17:00,4008380,246,Olympic Charleroi,90,Eendracht Aalst,1,1
1960-1961,15,1961-05-11,15:00,4008435,1,Royal Antwerp FC,16,Standard Luik,1,4
1960-1961,15,1961-05-11,15:00,4008436,90,Eendracht Aalst,2,Daring Club Brussel,1,2
1960-1961,15,1961-05-11,15:00,4008437,35,RSC Anderlecht,7,KAA Gent,0,5
1960-1961,15,1961-05-11,15:00,4008438,553,Waterschei SV Thor,13,Beerschot,2,3
1960-1961,15,1961-05-11,15:00,4008439,3,Club Brugge,30,Lierse SK,4,1
1960-1961,15,1961-05-11,15:00,4008440,10,Union Saint-Gilloise,3434,Patro Eisden,4,0
1960-1961,15,1961-05-11,15:00,4008441,4,RFC Luik,246,Olympic Charleroi,1,1
1960-1961,15,1961-05-11,15:00,4008442,33,Verviétois,373,Sint-Truidense VV,1,3
1960-1961,16,1961-01-08,14:45,4008305,1,Royal Antwerp FC,90,Eendracht Aalst,5,1
1960-1961,16,1961-01-08,14:45,4008306,35,RSC Anderlecht,246,Olympic Charleroi,1,1
1960-1961,16,1961-01-08,14:45,4008307,10,Union Saint-Gilloise,3,Club Brugge,4,1
1960-1961,16,1961-01-08,14:45,4008308,3434,Patro Eisden,2,Daring Club Brussel,0,1
1960-1961,16,1961-01-08,14:45,4008309,7,KAA Gent,4,RFC Luik,1,1
1960-1961,16,1961-01-08,14:45,4008310,30,Lierse SK,553,Waterschei SV Thor,3,1
1960-1961,16,1961-03-19,15:00,4008382,33,Verviétois,13,Beerschot,0,0
1960-1961,16,1961-04-01,18:00,4008392,16,Standard Luik,373,Sint-Truidense VV,1,0
1960-1961,17,1961-01-15,15:00,4008311,90,Eendracht Aalst,16,Standard Luik,3,3
1960-1961,17,1961-01-15,15:00,4008312,4,RFC Luik,35,RSC Anderlecht,0,0
1960-1961,17,1961-01-15,15:00,4008313,2,Daring Club Brussel,1,Royal Antwerp FC,1,1
1960-1961,17,1961-01-15,15:00,4008314,13,Beerschot,7,KAA Gent,2,0
1960-1961,17,1961-01-15,15:00,4008315,3,Club Brugge,3434,Patro Eisden,3,1
1960-1961,17,1961-01-15,15:00,4008316,373,Sint-Truidense VV,10,Union Saint-Gilloise,1,0
1960-1961,17,1961-01-15,15:00,4008317,553,Waterschei SV Thor,33,Verviétois,4,0
1960-1961,17,1961-04-01,17:00,4008393,246,Olympic Charleroi,30,Lierse SK,0,0
1960-1961,18,1961-01-22,15:00,4008318,246,Olympic Charleroi,16,Standard Luik,0,2
1960-1961,18,1961-01-22,15:00,4008319,35,RSC Anderlecht,90,Eendracht Aalst,7,0
1960-1961,18,1961-01-22,15:00,4008320,1,Royal Antwerp FC,10,Union Saint-Gilloise,3,1
1960-1961,18,1961-01-22,15:00,4008321,30,Lierse SK,13,Beerschot,1,1
1960-1961,18,1961-01-22,15:00,4008322,33,Verviétois,3,Club Brugge,0,3
1960-1961,18,1961-01-22,15:00,4008323,7,KAA Gent,2,Daring Club Brussel,0,1
1960-1961,18,1961-01-22,15:00,4008324,3434,Patro Eisden,373,Sint-Truidense VV,0,0
1960-1961,18,1961-01-22,15:00,4008325,4,RFC Luik,553,Waterschei SV Thor,0,1
1960-1961,19,1961-01-29,15:00,4008326,16,Standard Luik,3434,Patro Eisden,4,0
1960-1961,19,1961-01-29,15:00,4008327,90,Eendracht Aalst,33,Verviétois,1,0
1960-1961,19,1961-01-29,15:00,4008328,553,Waterschei SV Thor,35,RSC Anderlecht,2,4
1960-1961,19,1961-01-29,15:00,4008329,3,Club Brugge,1,Royal Antwerp FC,1,1
1960-1961,19,1961-01-29,15:00,4008330,13,Beerschot,246,Olympic Charleroi,3,1
1960-1961,19,1961-01-29,15:00,4008331,2,Daring Club Brussel,30,Lierse SK,2,2
1960-1961,19,1961-01-29,15:00,4008332,373,Sint-Truidense VV,7,KAA Gent,3,2
1960-1961,19,1961-01-29,15:00,4008333,10,Union Saint-Gilloise,4,RFC Luik,0,9
1960-1961,20,1961-02-05,15:00,4008334,33,Verviétois,16,Standard Luik,3,3
1960-1961,20,1961-02-05,15:00,4008335,90,Eendracht Aalst,10,Union Saint-Gilloise,2,0
1960-1961,20,1961-02-05,15:00,4008336,35,RSC Anderlecht,373,Sint-Truidense VV,1,0
1960-1961,20,1961-02-05,15:00,4008337,1,Royal Antwerp FC,13,Beerschot,3,0
1960-1961,20,1961-02-05,15:00,4008338,553,Waterschei SV Thor,3,Club Brugge,2,1
1960-1961,20,1961-02-05,15:00,4008339,4,RFC Luik,2,Daring Club Brussel,0,0
1960-1961,20,1961-02-05,15:00,4008340,30,Lierse SK,3434,Patro Eisden,1,0
1960-1961,20,1961-02-05,15:00,4008341,246,Olympic Charleroi,7,KAA Gent,1,1
1960-1961,21,1961-02-12,15:00,4008342,16,Standard Luik,4,RFC Luik,2,0
1960-1961,21,1961-02-12,15:00,4008343,373,Sint-Truidense VV,90,Eendracht Aalst,2,2
1960-1961,21,1961-02-12,15:00,4008344,30,Lierse SK,35,RSC Anderlecht,1,2
1960-1961,21,1961-02-12,15:00,4008345,3434,Patro Eisden,1,Royal Antwerp FC,2,0
1960-1961,21,1961-02-12,15:00,4008346,13,Beerschot,3,Club Brugge,2,3
1960-1961,21,1961-02-12,15:00,4008347,2,Daring Club Brussel,246,Olympic Charleroi,1,1
1960-1961,21,1961-02-12,15:00,4008348,7,KAA Gent,553,Waterschei SV Thor,4,2
1960-1961,21,1961-02-12,15:00,4008349,10,Union Saint-Gilloise,33,Verviétois,1,0
1960-1961,22,1961-02-19,15:00,4008350,35,RSC Anderlecht,16,Standard Luik,1,1
1960-1961,22,1961-02-19,15:00,4008351,3,Club Brugge,90,Eendracht Aalst,2,2
1960-1961,22,1961-02-19,15:00,4008352,33,Verviétois,1,Royal Antwerp FC,2,2
1960-1961,22,1961-02-19,15:00,4008353,13,Beerschot,2,Daring Club Brussel,2,1
1960-1961,22,1961-02-19,15:00,4008354,553,Waterschei SV Thor,3434,Patro Eisden,0,2
1960-1961,22,1961-02-19,15:00,4008355,7,KAA Gent,30,Lierse SK,1,1
1960-1961,22,1961-02-19,15:00,4008356,4,RFC Luik,373,Sint-Truidense VV,1,0
1960-1961,22,1961-02-19,15:00,4008357,246,Olympic Charleroi,10,Union Saint-Gilloise,1,0
1960-1961,23,1961-02-26,15:00,4008358,16,Standard Luik,13,Beerschot,1,0
1960-1961,23,1961-02-26,15:00,4008359,90,Eendracht Aalst,7,KAA Gent,1,1
1960-1961,23,1961-02-26,15:00,4008360,33,Verviétois,35,RSC Anderlecht,0,2
1960-1961,23,1961-02-26,15:00,4008361,1,Royal Antwerp FC,553,Waterschei SV Thor,1,0
1960-1961,23,1961-02-26,15:00,4008362,3,Club Brugge,246,Olympic Charleroi,3,0
1960-1961,23,1961-02-26,15:00,4008363,10,Union Saint-Gilloise,2,Daring Club Brussel,3,4
1960-1961,23,1961-02-26,15:00,4008364,3434,Patro Eisden,4,RFC Luik,1,3
1960-1961,23,1961-02-26,15:00,4008365,373,Sint-Truidense VV,30,Lierse SK,3,1
1960-1961,24,1961-03-05,15:00,4008367,16,Standard Luik,10,Union Saint-Gilloise,2,0
1960-1961,24,1961-03-05,15:00,4008368,3434,Patro Eisden,90,Eendracht Aalst,3,1
1960-1961,24,1961-03-05,15:00,4008369,2,Daring Club Brussel,35,RSC Anderlecht,1,0
1960-1961,24,1961-03-05,15:00,4008370,30,Lierse SK,1,Royal Antwerp FC,2,2
1960-1961,24,1961-03-05,15:00,4008371,13,Beerschot,4,RFC Luik,0,2
1960-1961,24,1961-03-05,15:00,4008372,373,Sint-Truidense VV,3,Club Brugge,4,0
1960-1961,24,1961-03-05,15:00,4008373,7,KAA Gent,33,Verviétois,0,2
1960-1961,24,1961-03-05,15:00,4008374,246,Olympic Charleroi,553,Waterschei SV Thor,1,1
1960-1961,25,1961-03-26,15:00,4008384,90,Eendracht Aalst,246,Olympic Charleroi,2,2
1960-1961,25,1961-03-26,15:00,4008385,35,RSC Anderlecht,13,Beerschot,1,0
1960-1961,25,1961-03-26,15:00,4008386,1,Royal Antwerp FC,373,Sint-Truidense VV,2,0
1960-1961,25,1961-03-26,15:00,4008387,553,Waterschei SV Thor,2,Daring Club Brussel,2,1
1960-1961,25,1961-03-26,15:00,4008388,33,Verviétois,3434,Patro Eisden,2,0
1960-1961,25,1961-03-26,15:00,4008389,10,Union Saint-Gilloise,7,KAA Gent,2,1
1960-1961,25,1961-03-26,15:00,4008390,4,RFC Luik,30,Lierse SK,2,0
1960-1961,25,1961-03-26,18:00,4008383,3,Club Brugge,16,Standard Luik,1,1
1960-1961,26,1961-04-09,15:00,4008395,16,Standard Luik,1,Royal Antwerp FC,2,0
1960-1961,26,1961-04-09,15:00,4008396,2,Daring Club Brussel,90,Eendracht Aalst,0,0
1960-1961,26,1961-04-09,15:00,4008397,7,KAA Gent,35,RSC Anderlecht,3,1
1960-1961,26,1961-04-09,15:00,4008398,13,Beerschot,553,Waterschei SV Thor,0,0
1960-1961,26,1961-04-09,15:00,4008399,30,Lierse SK,3,Club Brugge,6,2
1960-1961,26,1961-04-09,15:00,4008400,3434,Patro Eisden,10,Union Saint-Gilloise,1,1
1960-1961,26,1961-04-09,15:00,4008401,246,Olympic Charleroi,4,RFC Luik,0,3
1960-1961,26,1961-04-09,15:00,4008402,373,Sint-Truidense VV,33,Verviétois,1,0
1960-1961,27,1961-04-16,15:00,4008403,30,Lierse SK,16,Standard Luik,0,6
1960-1961,27,1961-04-16,15:00,4008404,553,Waterschei SV Thor,90,Eendracht Aalst,1,0
1960-1961,27,1961-04-16,15:00,4008405,35,RSC Anderlecht,10,Union Saint-Gilloise,3,0
1960-1961,27,1961-04-16,15:00,4008406,246,Olympic Charleroi,1,Royal Antwerp FC,2,0
1960-1961,27,1961-04-16,15:00,4008407,13,Beerschot,3434,Patro Eisden,3,2
1960-1961,27,1961-04-16,15:00,4008408,7,KAA Gent,3,Club Brugge,4,1
1960-1961,27,1961-04-16,15:00,4008409,2,Daring Club Brussel,373,Sint-Truidense VV,0,3
1960-1961,27,1961-04-16,15:00,4008410,4,RFC Luik,33,Verviétois,1,0
1960-1961,28,1961-04-23,15:00,4008411,16,Standard Luik,7,KAA Gent,3,1
1960-1961,28,1961-04-23,15:00,4008412,90,Eendracht Aalst,13,Beerschot,1,1
1960-1961,28,1961-04-23,15:00,4008413,1,Royal Antwerp FC,35,RSC Anderlecht,0,2
1960-1961,28,1961-04-23,15:00,4008414,3,Club Brugge,4,RFC Luik,1,1
1960-1961,28,1961-04-23,15:00,4008415,33,Verviétois,2,Daring Club Brussel,2,1
1960-1961,28,1961-04-23,15:00,4008416,3434,Patro Eisden,246,Olympic Charleroi,2,2
1960-1961,28,1961-04-23,15:00,4008417,10,Union Saint-Gilloise,30,Lierse SK,4,4
1960-1961,28,1961-04-23,15:00,4008418,373,Sint-Truidense VV,553,Waterschei SV Thor,0,0
1960-1961,29,1961-04-30,15:00,4008419,553,Waterschei SV Thor,16,Standard Luik,1,1
1960-1961,29,1961-04-30,15:00,4008420,4,RFC Luik,90,Eendracht Aalst,3,1
1960-1961,29,1961-04-30,15:00,4008421,35,RSC Anderlecht,3434,Patro Eisden,0,1
1960-1961,29,1961-04-30,15:00,4008422,7,KAA Gent,1,Royal Antwerp FC,1,2
1960-1961,29,1961-04-30,15:00,4008423,13,Beerschot,10,Union Saint-Gilloise,3,0
1960-1961,29,1961-04-30,15:00,4008424,2,Daring Club Brussel,3,Club Brugge,1,0
1960-1961,29,1961-04-30,15:00,4008425,30,Lierse SK,33,Verviétois,1,1
1960-1961,29,1961-04-30,15:00,4008426,246,Olympic Charleroi,373,Sint-Truidense VV,1,2
1960-1961,30,1961-05-07,15:00,4008427,16,Standard Luik,2,Daring Club Brussel,7,0
1960-1961,30,1961-05-07,15:00,4008428,90,Eendracht Aalst,30,Lierse SK,1,3
1960-1961,30,1961-05-07,15:00,4008429,3,Club Brugge,35,RSC Anderlecht,3,2
1960-1961,30,1961-05-07,15:00,4008430,1,Royal Antwerp FC,4,RFC Luik,3,2
1960-1961,30,1961-05-07,15:00,4008431,373,Sint-Truidense VV,13,Beerschot,0,0
1960-1961,30,1961-05-07,15:00,4008432,3434,Patro Eisden,7,KAA Gent,0,5
1960-1961,30,1961-05-07,15:00,4008433,33,Verviétois,246,Olympic Charleroi,0,0
1960-1961,30,1961-05-07,15:00,4008434,10,Union Saint-Gilloise,553,Waterschei SV Thor,0,1
1961-1962,1,1961-09-02,19:30,4008443,7,KAA Gent,2,Daring Club Brussel,2,2
1961-1962,1,1961-09-03,15:00,4008444,16,Standard Luik,13,Beerschot,1,1
1961-1962,1,1961-09-03,15:00,4008445,30,Lierse SK,90,Eendracht Aalst,2,3
1961-1962,1,1961-09-03,15:00,4008446,35,RSC Anderlecht,553,Waterschei SV Thor,6,1
1961-1962,1,1961-09-03,15:00,4008447,1,Royal Antwerp FC,4,RFC Luik,3,1
1961-1962,1,1961-09-03,15:00,4008448,12,Cercle Brugge,41,KFC Diest,3,1
1961-1962,1,1961-09-03,15:00,4008449,10,Union Saint-Gilloise,3,Club Brugge,1,2
1961-1962,1,1961-09-03,15:00,4008450,373,Sint-Truidense VV,246,Olympic Charleroi,3,0
1961-1962,2,1961-09-10,15:00,4008451,3,Club Brugge,16,Standard Luik,3,2
1961-1962,2,1961-09-10,15:00,4008452,90,Eendracht Aalst,373,Sint-Truidense VV,3,2
1961-1962,2,1961-09-10,15:00,4008453,41,KFC Diest,35,RSC Anderlecht,0,3
1961-1962,2,1961-09-10,15:00,4008454,2,Daring Club Brussel,1,Royal Antwerp FC,1,4
1961-1962,2,1961-09-10,15:00,4008455,13,Beerschot,30,Lierse SK,2,2
1961-1962,2,1961-09-10,15:00,4008456,4,RFC Luik,12,Cercle Brugge,3,0
1961-1962,2,1961-09-10,15:00,4008457,553,Waterschei SV Thor,7,KAA Gent,1,3
1961-1962,2,1961-09-10,15:00,4008458,246,Olympic Charleroi,10,Union Saint-Gilloise,1,0
1961-1962,3,1961-09-17,15:00,4008459,16,Standard Luik,2,Daring Club Brussel,1,1
1961-1962,3,1961-09-17,15:00,4008460,3,Club Brugge,90,Eendracht Aalst,1,0
1961-1962,3,1961-09-17,15:00,4008461,1,Royal Antwerp FC,35,RSC Anderlecht,1,4
1961-1962,3,1961-09-17,15:00,4008462,373,Sint-Truidense VV,13,Beerschot,1,2
1961-1962,3,1961-09-17,15:00,4008463,246,Olympic Charleroi,12,Cercle Brugge,7,2
1961-1962,3,1961-09-17,15:00,4008464,7,KAA Gent,41,KFC Diest,1,0
1961-1962,3,1961-09-17,15:00,4008465,10,Union Saint-Gilloise,4,RFC Luik,0,0
1961-1962,3,1961-09-17,15:00,4008466,30,Lierse SK,553,Waterschei SV Thor,2,4
1961-1962,4,1961-09-24,15:00,4008467,41,KFC Diest,16,Standard Luik,0,1
1961-1962,4,1961-09-24,15:00,4008468,90,Eendracht Aalst,10,Union Saint-Gilloise,2,0
1961-1962,4,1961-09-24,15:00,4008469,35,RSC Anderlecht,3,Club Brugge,2,0
1961-1962,4,1961-09-24,15:00,4008470,553,Waterschei SV Thor,1,Royal Antwerp FC,1,1
1961-1962,4,1961-09-24,15:00,4008471,13,Beerschot,246,Olympic Charleroi,2,0
1961-1962,4,1961-09-24,15:00,4008472,12,Cercle Brugge,7,KAA Gent,1,3
1961-1962,4,1961-09-24,15:00,4008473,2,Daring Club Brussel,373,Sint-Truidense VV,1,1
1961-1962,4,1961-09-24,15:00,4008474,4,RFC Luik,30,Lierse SK,1,0
1961-1962,5,1961-10-01,15:00,4008479,30,Lierse SK,12,Cercle Brugge,3,5
1961-1962,5,1961-10-01,15:00,4008480,3,Club Brugge,2,Daring Club Brussel,1,1
1961-1962,5,1961-10-01,15:00,4008481,10,Union Saint-Gilloise,41,KFC Diest,1,0
1961-1962,5,1961-10-01,15:00,4008482,373,Sint-Truidense VV,7,KAA Gent,1,2
1961-1962,5,1961-10-01,15:00,4008475,246,Olympic Charleroi,16,Standard Luik,1,2
1961-1962,5,1961-10-01,15:00,4008476,90,Eendracht Aalst,553,Waterschei SV Thor,2,0
1961-1962,5,1961-10-01,15:00,4008477,4,RFC Luik,35,RSC Anderlecht,1,2
1961-1962,5,1961-10-01,15:00,4008478,1,Royal Antwerp FC,13,Beerschot,0,1
1961-1962,6,1961-10-08,15:00,4008485,35,RSC Anderlecht,30,Lierse SK,1,1
1961-1962,6,1961-10-08,15:00,4008486,7,KAA Gent,1,Royal Antwerp FC,2,6
1961-1962,6,1961-10-08,15:00,4008487,12,Cercle Brugge,3,Club Brugge,0,2
1961-1962,6,1961-10-08,15:00,4008488,2,Daring Club Brussel,246,Olympic Charleroi,1,3
1961-1962,6,1961-10-08,15:00,4008489,41,KFC Diest,373,Sint-Truidense VV,2,2
