tf_match_id,seizoen,seizoen_alternatief,datum,datum_key,tijdstip,tf_clubid_thuis,tf_clubnaam_thuis,stamnummer_thuis,roepnaam_thuis,tf_clubid_uit,tf_clubnaam_uit,stamnummer_uit,roepnaam_uit,stand_thuis,stand_uit,type
1012524,2009,09/10,2010-04-23,20100423,20:30,601,KV Kortrijk,19,KV Kortrijk,2282,Club Brugge,3,Club Brugge,2,0,Playoff_1
1012525,2009,09/10,2010-04-24,20100424,20:00,475,St-Truidense VV,373,Sint-Truidense VV,3508,Zulte Waregem,5381,SV Zulte Waregem,1,2,Playoff_1
1012528,2009,09/10,2010-04-24,20100424,20:00,520,Cercle Brugge,12,Cercle Brugge,498,KSC Lokeren,282,KSC Lokeren,1,1,Playoff_2
1012527,2009,09/10,2010-04-24,20100424,20:00,354,KV Mechelen,25,KV Mechelen,968,KVC Westerlo,2024,KVC Westerlo,1,3,Playoff_2
1012526,2009,09/10,2010-04-25,20100425,20:30,58,RSC Anderlecht,35,RSC Anderlecht,157,KAA Gent,7,KAA Gent,4,2,Playoff_1
1012530,2009,09/10,2010-04-25,20100425,18:00,172,R Charleroi SC,22,R Charleroi SC,3057,Standard Luik,16,Standard Luik,1,0,Playoff_2
1012529,2009,09/10,2010-04-25,20100425,18:00,1184,KRC Genk,322,KRC Genk,566,Germ. Beerschot,3530,Germinal,2,0,Playoff_2
1018345,2009,09/10,2010-04-30,20100430,20:30,3508,Zulte Waregem,5381,SV Zulte Waregem,58,RSC Anderlecht,35,RSC Anderlecht,0,0,Playoff_1
1018346,2009,09/10,2010-05-01,20100501,20:00,157,KAA Gent,7,KAA Gent,601,KV Kortrijk,19,KV Kortrijk,0,0,Playoff_1
1018347,2009,09/10,2010-05-02,20100502,18:00,2282,Club Brugge,3,Club Brugge,475,St-Truidense VV,373,Sint-Truidense VV,2,0,Playoff_1
1019671,2009,09/10,2010-05-05,20100505,20:30,475,St-Truidense VV,373,Sint-Truidense VV,157,KAA Gent,7,KAA Gent,1,1,Playoff_1
