Seizoen,Speeldag,Stand,Stamnummer,Roepnaam,AantalGespeeld,AantalGewonnen,AantalGelijk,AantalVerloren,DoelpuntenVoor,DoelpuntenTegen,Doelpuntensaldo,Links_Tweepuntensysteem,Rechts_Tweepuntensysteem,Driepuntensysteem
1960,5,14,373,Sint-Truidense VV,5,1,1,3,4,10,-6,111,331,1111
1960,5,15,3434,Patro Eisden,5,0,1,4,2,10,-8,001,441,0001
1960,5,16,33,Verviétois,5,0,1,4,4,14,-10,001,441,0001
1960,6,1,16,Standard Luik,6,4,2,0,13,2,11,442,002,4442
1960,6,2,4,RFC Luik,6,4,2,0,9,5,4,442,002,4442
1960,6,3,2,Daring Club Brussel,6,4,1,1,14,10,4,441,111,4441
1960,6,4,35,RSC Anderlecht,6,3,2,1,18,6,12,332,112,3332
1960,6,5,90,Eendracht Aalst,6,3,1,2,12,10,2,331,221,3331
1960,6,6,10,Union Saint-Gilloise,6,3,0,3,11,7,4,330,330,3330
1960,6,6,553,Waterschei SV Thor,6,2,2,2,11,7,4,222,222,2222
1960,6,8,7,KAA Gent,6,2,2,2,11,8,3,222,222,2222
1960,6,9,3,Club Brugge,6,1,4,1,6,6,0,114,114,1114
1960,6,10,13,Beerschot,6,3,0,3,9,11,-2,330,330,3330
1960,6,11,246,Olympic Charleroi,6,2,2,2,7,11,-4,222,222,2222
1960,6,12,1,Royal Antwerp FC,6,1,2,3,8,10,-2,112,332,1112
1960,6,13,30,Lierse SK,6,2,0,4,6,16,-10,220,440,2220
1960,6,14,33,Verviétois,6,1,1,4,5,14,-9,111,441,1111
1960,6,15,373,Sint-Truidense VV,6,1,1,4,4,13,-9,111,441,1111
1960,6,16,3434,Patro Eisden,6,0,2,4,4,12,-8,002,442,0002
1960,7,1,16,Standard Luik,7,5,2,0,15,3,12,552,002,5552
1960,7,2,2,Daring Club Brussel,7,4,2,1,14,10,4,442,112,4442
1960,7,3,4,RFC Luik,7,4,2,1,9,6,3,442,112,4442
1960,7,4,90,Eendracht Aalst,7,4,1,2,15,11,4,441,221,4441
1960,7,5,35,RSC Anderlecht,7,3,2,2,19,8,11,332,222,3332
1960,7,6,10,Union Saint-Gilloise,7,4,0,3,12,7,5,440,330,4440
1960,7,7,13,Beerschot,7,3,1,3,9,11,-2,331,331,3331
1960,7,8,553,Waterschei SV Thor,7,2,2,3,12,9,3,222,332,2222
1960,7,9,7,KAA Gent,7,2,2,3,11,9,2,222,332,2222
1960,7,10,1,Royal Antwerp FC,7,2,2,3,12,11,1,222,332,2222
1960,7,11,3,Club Brugge,7,1,4,2,7,9,-2,114,224,1114
1960,7,12,246,Olympic Charleroi,7,2,2,3,7,12,-5,222,332,2222
1960,7,13,30,Lierse SK,7,3,0,4,7,16,-9,330,440,3330
