ID,Wedstrijd,Starttijd,Thuisploeg,Uitploeg,Vraag,Keuze,Kans
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Beide teams zullen scoren,Ja,1.79
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Beide teams zullen scoren,Nee,2.02
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Wedstrijduitslag,1,1.83
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Wedstrijduitslag,Gelijkspel,3.45
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Wedstrijduitslag,2,4.3
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Totaal Aantal Goals,Meer dan (2.5),1.9
1-24218883,KV Mechelen vs KVC Westerlo,2024-03-08T19:45:00.000000Z,KV Mechelen,KVC Westerlo,Totaal Aantal Goals,Onder (2.5),1.9
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.72
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Beide teams zullen scoren,Nee,2
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Wedstrijduitslag,1,5.9
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,4.5
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Wedstrijduitslag,2,1.48
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.61
1-24224308,KV Kortrijk vs Royal Antwerp FC,2024-03-09T15:00:00.000000Z,KV Kortrijk,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),2.32
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Beide teams zullen scoren,Ja,1.73
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Beide teams zullen scoren,Nee,2.1
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Wedstrijduitslag,1,3.63
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Wedstrijduitslag,Gelijkspel,3.55
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Wedstrijduitslag,2,1.95
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Totaal Aantal Goals,Meer dan (2.5),1.85
1-24224746,Royal Charleroi SC vs Cercle Brugge KSV,2024-03-09T17:15:00.000000Z,Royal Charleroi SC,Cercle Brugge KSV,Totaal Aantal Goals,Onder (2.5),1.95
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Beide teams zullen scoren,Ja,1.82
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Beide teams zullen scoren,Nee,1.98
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Wedstrijduitslag,1,5.4
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Wedstrijduitslag,Gelijkspel,4.2
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Wedstrijduitslag,2,1.54
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Totaal Aantal Goals,Meer dan (2.5),1.71
1-24225048,RWD Molenbeek 47 vs RSC Anderlecht,2024-03-09T19:45:00.000000Z,RWD Molenbeek 47,RSC Anderlecht,Totaal Aantal Goals,Onder (2.5),2.14
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Beide teams zullen scoren,Ja,1.8
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Beide teams zullen scoren,Nee,2.01
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Wedstrijduitslag,1,1.58
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Wedstrijduitslag,Gelijkspel,4.1
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Wedstrijduitslag,2,5.3
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.73
1-24229883,KRC Genk vs Standard Liege,2024-03-10T12:30:00.000000Z,KRC Genk,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.1
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Beide teams zullen scoren,Ja,1.81
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Beide teams zullen scoren,Nee,2
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Wedstrijduitslag,1,1.28
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Wedstrijduitslag,Gelijkspel,5.8
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Wedstrijduitslag,2,8.5
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Totaal Aantal Goals,Meer dan (3.5),2.1
1-24230675,Club Brugge vs Oud-Heverlee Leuven,2024-03-10T15:00:00.000000Z,Club Brugge,Oud-Heverlee Leuven,Totaal Aantal Goals,Onder (3.5),1.73
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Beide teams zullen scoren,Ja,1.73
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Beide teams zullen scoren,Nee,2.1
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Wedstrijduitslag,1,1.56
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Wedstrijduitslag,Gelijkspel,4.2
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Wedstrijduitslag,2,5.3
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Totaal Aantal Goals,Meer dan (2.5),1.65
1-24231145,Royale Union Saint-Gilloise vs KAA Gent,2024-03-10T17:30:00.000000Z,Royale Union Saint-Gilloise,KAA Gent,Totaal Aantal Goals,Onder (2.5),2.24
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Beide teams zullen scoren,Ja,1.78
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Beide teams zullen scoren,Nee,2.04
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Wedstrijduitslag,1,3.38
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Wedstrijduitslag,Gelijkspel,3.28
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Wedstrijduitslag,2,2.13
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Totaal Aantal Goals,Meer dan (2.5),1.98
1-24231308,KAS Eupen vs Sint Truidense VV,2024-03-10T18:15:00.000000Z,KAS Eupen,Sint Truidense VV,Totaal Aantal Goals,Onder (2.5),1.82
