ID,Startjaar,Eindjaar,Datum,Tijd,Thuisploeg,Score,Uitploeg
1062,2005,2006,28/01,20:00,Lierse SK,2-0,Beveren
1063,2005,2006,28/01,20:00,RWDM,1-1,Sporting Lokeren
1064,2005,2006,28/01,20:00,La Louvière,2-2,Zulte Waregem
1065,2005,2006,28/01,20:00,Cercle Brugge,1-2,KAA Gent
1066,2005,2006,29/01,18:00,Roeselare,1-1,Club Brugge
1067,2005,2006,03/02,20:30,Club Brugge,3-1,Lierse SK
1068,2005,2006,04/02,18:00,Anderlecht,4-1,KRC Genk
1069,2005,2006,04/02,20:00,Beveren,1-1,STVV
1070,2005,2006,04/02,20:00,Zulte Waregem,3-1,Cercle Brugge
1071,2005,2006,04/02,20:00,KAA Gent,2-1,Germinal Beerschot
1072,2005,2006,04/02,20:00,Westerlo,0-5,Moeskroen
1073,2005,2006,04/02,20:00,Charleroi,1-0,RWDM
1074,2005,2006,04/02,20:00,Sporting Lokeren,2-2,Roeselare
1075,2005,2006,11/02,18:00,STVV,2-2,Club Brugge
1076,2005,2006,11/02,20:00,Beveren,0-2,Standard
1077,2005,2006,11/02,20:00,Moeskroen,0-1,Anderlecht
1078,2005,2006,11/02,20:00,Germinal Beerschot,2-0,Zulte Waregem
1079,2005,2006,11/02,20:00,Lierse SK,2-0,Sporting Lokeren
1080,2005,2006,11/02,20:00,Cercle Brugge,1-0,La Louvière
1081,2005,2006,12/02,20:30,KRC Genk,2-1,KAA Gent
1082,2005,2006,17/02,20:30,Anderlecht,2-0,RWDM
1083,2005,2006,18/02,18:00,Zulte Waregem,1-0,KRC Genk
1084,2005,2006,18/02,20:00,Charleroi,0-1,Lierse SK
1085,2005,2006,18/02,20:00,Sporting Lokeren,1-2,STVV
1086,2005,2006,18/02,20:00,Westerlo,3-2,Roeselare
1087,2005,2006,18/02,20:00,KAA Gent,0-0,Moeskroen
1088,2005,2006,18/02,20:00,Standard,7-1,Cercle Brugge
1089,2005,2006,19/02,18:00,Club Brugge,1-0,Beveren
1090,2005,2006,19/02,20:30,La Louvière,1-1,Germinal Beerschot
1091,2005,2006,21/02,20:30,Roeselare,2-0,Charleroi
1092,2005,2006,22/02,20:30,Standard,1-1,La Louvière
1093,2005,2006,22/02,20:30,RWDM,1-0,Westerlo
1094,2005,2006,24/02,20:30,Roeselare,0-2,Anderlecht
1095,2005,2006,25/02,20:00,Moeskroen,0-1,Zulte Waregem
1096,2005,2006,25/02,20:00,KRC Genk,1-0,La Louvière
1097,2005,2006,25/02,20:00,Germinal Beerschot,5-0 FF,Cercle Brugge
1098,2005,2006,25/02,20:00,Beveren,1-3,Sporting Lokeren
1099,2005,2006,25/02,20:00,STVV,1-1,Charleroi
1100,2005,2006,25/02,20:00,Lierse SK,2-1,Westerlo
1101,2005,2006,26/02,15:00,Club Brugge,1-1,Standard
1102,2005,2006,26/02,18:00,RWDM,0-1,KAA Gent
1103,2005,2006,03/03,20:30,Charleroi,4-0,Beveren
1104,2005,2006,04/03,18:00,Sporting Lokeren,2-0,Club Brugge
1105,2005,2006,04/03,20:00,KAA Gent,1-2,Roeselare
1106,2005,2006,04/03,20:00,Zulte Waregem,0-0,RWDM
1107,2005,2006,04/03,20:00,Westerlo,2-1,STVV
1108,2005,2006,04/03,20:00,La Louvière,0-0,Moeskroen
1109,2005,2006,04/03,20:00,Cercle Brugge,1-1,KRC Genk
1110,2005,2006,05/03,18:00,Anderlecht,3-0,Lierse SK
1111,2005,2006,05/03,20:30,Standard,3-1,Germinal Beerschot
1112,2005,2006,10/03,20:30,STVV,3-0,Anderlecht
1113,2005,2006,11/03,18:00,KRC Genk,1-0,Germinal Beerschot
1114,2005,2006,11/03,20:00,Lierse SK,1-3,KAA Gent
1115,2005,2006,11/03,20:00,Moeskroen,6-0,Cercle Brugge
1116,2005,2006,11/03,20:00,Beveren,4-1,Westerlo
1117,2005,2006,11/03,20:00,Club Brugge,2-1,Charleroi
1118,2005,2006,11/03,20:00,RWDM,0-0,La Louvière
1119,2005,2006,11/03,20:00,Roeselare,0-3,Zulte Waregem
1120,2005,2006,12/03,18:00,Sporting Lokeren,0-0,Standard
1121,2005,2006,17/03,20:30,Zulte Waregem,0-1,Lierse SK
1122,2005,2006,17/03,20:30,Standard,1-0,KRC Genk
1123,2005,2006,18/03,18:00,Westerlo,0-0,Club Brugge
1124,2005,2006,18/03,20:00,Anderlecht,4-0,Beveren
1125,2005,2006,18/03,20:00,Charleroi,3-1,Sporting Lokeren
1126,2005,2006,18/03,20:00,Germinal Beerschot,1-0,Moeskroen
1127,2005,2006,18/03,20:00,Cercle Brugge,0-1,RWDM
1128,2005,2006,18/03,20:00,La Louvière,0-0,Roeselare
1129,2005,2006,19/03,18:00,KAA Gent,1-0,STVV
1130,2005,2006,24/03,20:30,Charleroi,0-0,Standard
1131,2005,2006,25/03,20:00,Beveren,0-1,KAA Gent
1132,2005,2006,25/03,20:00,Sporting Lokeren,3-2,Westerlo
1133,2005,2006,25/03,20:00,RWDM,0-1,Germinal Beerschot
1134,2005,2006,25/03,20:00,STVV,2-0,Zulte Waregem
1135,2005,2006,25/03,20:00,Lierse SK,0-0,La Louvière
1136,2005,2006,26/03,13:00,Club Brugge,0-2,Anderlecht
1137,2005,2006,26/03,15:00,Roeselare,1-0,Cercle Brugge
1138,2005,2006,26/03,18:00,Moeskroen,1-0,KRC Genk
1139,2005,2006,31/03,20:30,Anderlecht,1-1,Sporting Lokeren
1140,2005,2006,01/04,18:00,KAA Gent,4-1,Club Brugge
1141,2005,2006,01/04,20:00,Cercle Brugge,3-0,Lierse SK
1142,2005,2006,01/04,20:00,KRC Genk,1-0,RWDM
1143,2005,2006,01/04,20:00,Germinal Beerschot,2-2,Roeselare
1144,2005,2006,01/04,20:00,Standard,2-1,Moeskroen
1145,2005,2006,01/04,20:00,Zulte Waregem,2-2,Beveren
1146,2005,2006,01/04,20:00,La Louvière,0-2,STVV
1147,2005,2006,02/04,18:00,Westerlo,1-1,Charleroi
1148,2005,2006,07/04,20:30,Club Brugge,2-1,Zulte Waregem
1149,2005,2006,07/04,20:30,Charleroi,1-1,Anderlecht
1150,2005,2006,08/04,18:00,Westerlo,0-2,Standard
1151,2005,2006,08/04,20:00,Sporting Lokeren,1-2,KAA Gent
1152,2005,2006,08/04,20:00,Beveren,1-0,La Louvière
1153,2005,2006,08/04,20:00,STVV,1-1,Cercle Brugge
1154,2005,2006,08/04,20:00,RWDM,0-1,Moeskroen
1155,2005,2006,08/04,20:00,Lierse SK,0-2,Germinal Beerschot
1156,2005,2006,09/04,18:00,Roeselare,1-2,KRC Genk
1157,2005,2006,14/04,20:30,Anderlecht,5-0,Westerlo
1158,2005,2006,15/04,20:00,KAA Gent,2-2,Charleroi
1159,2005,2006,15/04,20:00,Moeskroen,0-1,Roeselare
1160,2005,2006,15/04,20:00,KRC Genk,1-0,Lierse SK
1161,2005,2006,15/04,20:00,Germinal Beerschot,4-0,STVV
1162,2005,2006,15/04,20:00,Cercle Brugge,1-1,Beveren
1163,2005,2006,16/04,18:00,La Louvière,0-1,Club Brugge
1164,2005,2006,16/04,20:30,Standard,1-0,RWDM
1165,2005,2006,16/04,20:30,Zulte Waregem,1-1,Sporting Lokeren
1166,2005,2006,21/04,20:30,Anderlecht,2-0,Standard
1167,2005,2006,22/04,20:00,Charleroi,2-0,Zulte Waregem
1168,2005,2006,22/04,20:00,Sporting Lokeren,3-2,La Louvière
1169,2005,2006,22/04,20:00,Beveren,0-0,Germinal Beerschot
1170,2005,2006,22/04,20:00,STVV,2-2,KRC Genk
1171,2005,2006,22/04,20:00,Lierse SK,2-0,Moeskroen
1172,2005,2006,22/04,20:00,Roeselare,0-1,RWDM
1173,2005,2006,23/04,18:00,Westerlo,0-1,KAA Gent
1174,2005,2006,23/04,20:30,Club Brugge,2-0,Cercle Brugge
1175,2005,2006,30/04,15:00,RWDM,2-1,Lierse SK
1176,2005,2006,30/04,15:00,Moeskroen,3-0,STVV
1177,2005,2006,30/04,15:00,KRC Genk,2-0,Beveren
1178,2005,2006,30/04,15:00,Germinal Beerschot,1-1,Club Brugge
1179,2005,2006,30/04,15:00,Cercle Brugge,2-0,Sporting Lokeren
1180,2005,2006,30/04,15:00,La Louvière,2-2,Charleroi
1181,2005,2006,30/04,15:00,Zulte Waregem,1-2,Westerlo
1182,2005,2006,30/04,15:00,KAA Gent,0-0,Anderlecht
1183,2005,2006,30/04,15:00,Roeselare,0-0,Standard
1184,2005,2006,05/05,20:30,Sporting Lokeren,1-2,Germinal Beerschot
1185,2005,2006,05/05,20:30,Club Brugge,3-0,KRC Genk
1186,2005,2006,05/05,20:30,Beveren,1-0,Moeskroen
1187,2005,2006,05/05,20:30,STVV,0-1,RWDM
1188,2005,2006,05/05,20:30,Lierse SK,1-0,Roeselare
1189,2005,2006,05/05,20:30,Standard,0-2,KAA Gent
1190,2005,2006,05/05,20:30,Anderlecht,3-0,Zulte Waregem
1191,2005,2006,05/05,20:30,Westerlo,2-1,La Louvière
1192,2005,2006,05/05,20:30,Charleroi,0-1,Cercle Brugge
1193,2006,2007,28/07,20:30,Club Brugge,5-0,KAA Gent
1194,2006,2007,29/07,20:00,KRC Genk,3-1,Zulte Waregem
1195,2006,2007,29/07,20:00,Germinal Beerschot,1-0,Beveren
1196,2006,2007,29/07,20:00,Moeskroen,2-1,Cercle Brugge
1197,2006,2007,29/07,20:00,RWDM,1-0,Bergen
1198,2006,2007,29/07,20:00,Charleroi,0-0,Lierse SK
1199,2006,2007,30/07,18:00,Sporting Lokeren,2-1,Standard
1200,2006,2007,30/07,20:30,STVV,2-4,Anderlecht
1201,2006,2007,30/07,20:30,Westerlo,2-1,Roeselare
1202,2006,2007,04/08,20:30,Standard,1-2,Charleroi
1203,2006,2007,05/08,18:00,Lierse SK,0-3,KRC Genk
1204,2006,2007,05/08,20:00,Bergen,2-0,STVV
1205,2006,2007,05/08,20:00,Zulte Waregem,0-1,RWDM
1206,2006,2007,05/08,20:00,Cercle Brugge,0-0,Sporting Lokeren
1207,2006,2007,05/08,20:00,KAA Gent,1-3,Moeskroen
1208,2006,2007,05/08,20:00,Beveren,0-3,Westerlo
1209,2006,2007,05/08,20:00,Anderlecht,1-0,Germinal Beerschot
1210,2006,2007,06/08,18:00,Roeselare,3-2,Club Brugge
1211,2006,2007,19/08,18:00,KRC Genk,1-1,Standard
1212,2006,2007,19/08,20:00,Club Brugge,2-0,Beveren
1213,2006,2007,19/08,20:00,Charleroi,2-1,Cercle Brugge
1214,2006,2007,19/08,20:00,Zulte Waregem,2-1,Lierse SK
1215,2006,2007,19/08,20:00,Germinal Beerschot,2-1,Bergen
1216,2006,2007,19/08,20:00,Moeskroen,2-2,Roeselare
1217,2006,2007,19/08,20:00,RWDM,2-2,STVV
1218,2006,2007,20/08,18:00,Westerlo,3-4,Anderlecht
1219,2006,2007,20/08,20:30,Sporting Lokeren,1-1,KAA Gent
1220,2006,2007,26/08,18:00,Standard,1-1,Zulte Waregem
1221,2006,2007,26/08,20:00,Cercle Brugge,0-1,KRC Genk
1222,2006,2007,26/08,20:00,Bergen,1-1,Westerlo
1223,2006,2007,26/08,20:00,STVV,2-0,Germinal Beerschot
1224,2006,2007,26/08,20:00,Lierse SK,0-1,RWDM
1225,2006,2007,26/08,20:00,Beveren,3-1,Moeskroen
1226,2006,2007,27/08,18:00,KAA Gent,2-1,Charleroi
1227,2006,2007,27/08,20:30,Roeselare,2-2,Sporting Lokeren
1228,2006,2007,27/08,20:30,Anderlecht,1-0,Club Brugge
1229,2006,2007,09/09,18:00,Moeskroen,1-1,Anderlecht
1230,2006,2007,09/09,20:00,Club Brugge,0-0,Bergen
1231,2006,2007,09/09,20:00,Charleroi,2-1,Roeselare
1232,2006,2007,09/09,20:00,Zulte Waregem,1-2,Cercle Brugge
1233,2006,2007,09/09,20:00,Lierse SK,1-3,Standard
1234,2006,2007,09/09,20:00,Westerlo,1-0,STVV
1235,2006,2007,09/09,20:00,RWDM,1-2,Germinal Beerschot
1236,2006,2007,10/09,18:00,KRC Genk,3-1,KAA Gent
1237,2006,2007,10/09,20:30,Sporting Lokeren,2-0,Beveren
1238,2006,2007,16/09,18:00,Anderlecht,2-0,Sporting Lokeren
1239,2006,2007,16/09,20:00,Cercle Brugge,2-1,Lierse SK
1240,2006,2007,16/09,20:00,Bergen,1-0,Moeskroen
1241,2006,2007,16/09,20:00,Germinal Beerschot,0-0,Westerlo
1242,2006,2007,16/09,20:00,Beveren,2-2,Charleroi
1243,2006,2007,17/09,18:00,Standard,2-1,RWDM
1244,2006,2007,17/09,20:30,KAA Gent,1-1,Zulte Waregem
1245,2006,2007,17/09,20:30,STVV,2-3,Club Brugge
1246,2006,2007,17/09,20:30,Roeselare,3-3,KRC Genk
1247,2006,2007,22/09,20:30,Charleroi,1-1,Anderlecht
1248,2006,2007,23/09,18:00,Standard,1-0,Cercle Brugge
1249,2006,2007,23/09,20:00,Moeskroen,1-0,STVV
1250,2006,2007,23/09,20:00,Sporting Lokeren,0-2,Bergen
1251,2006,2007,23/09,20:00,RWDM,0-1,Westerlo
1252,2006,2007,23/09,20:00,Club Brugge,1-0,Germinal Beerschot
1253,2006,2007,23/09,20:00,KRC Genk,1-0,Beveren
1254,2006,2007,23/09,20:00,Lierse SK,1-4,KAA Gent
1255,2006,2007,24/09,18:00,Zulte Waregem,4-2,Roeselare
1256,2006,2007,30/09,18:00,Anderlecht,1-4,KRC Genk
1257,2006,2007,30/09,20:00,Cercle Brugge,1-0,RWDM
1258,2006,2007,30/09,20:00,Bergen,1-2,Charleroi
1259,2006,2007,30/09,20:00,STVV,1-0,Sporting Lokeren
1260,2006,2007,30/09,20:00,Germinal Beerschot,6-2,Moeskroen
1261,2006,2007,30/09,20:00,Roeselare,2-0,Lierse SK
1262,2006,2007,01/10,18:00,KAA Gent,2-1,Standard
1263,2006,2007,01/10,20:30,Westerlo,1-2,Club Brugge
1264,2006,2007,01/10,20:30,Beveren,1-0,Zulte Waregem
1265,2006,2007,14/10,18:00,Zulte Waregem,0-4,Anderlecht
1266,2006,2007,14/10,20:00,Standard,2-1,Roeselare
1267,2006,2007,14/10,20:00,Cercle Brugge,0-1,KAA Gent
1268,2006,2007,14/10,20:00,Charleroi,2-1,STVV
1269,2006,2007,14/10,20:00,Lierse SK,0-1,Beveren
1270,2006,2007,14/10,20:00,Moeskroen,4-0,Westerlo
1271,2006,2007,14/10,20:00,Sporting Lokeren,0-0,Germinal Beerschot
1272,2006,2007,15/10,18:00,RWDM,1-1,Club Brugge
1273,2006,2007,15/10,20:30,KRC Genk,5-1,Bergen
1274,2006,2007,27/10,20:30,Club Brugge,5-1,Moeskroen
1275,2006,2007,28/10,18:00,Germinal Beerschot,1-1,Charleroi
1276,2006,2007,28/10,20:00,KAA Gent,3-3,RWDM
1277,2006,2007,28/10,20:00,Bergen,0-0,Zulte Waregem
1278,2006,2007,28/10,20:00,Westerlo,4-1,Sporting Lokeren
1279,2006,2007,28/10,20:00,Roeselare,1-0,Cercle Brugge
1280,2006,2007,28/10,20:00,Beveren,0-3,Standard
1281,2006,2007,28/10,20:00,Anderlecht,2-0,Lierse SK
1282,2006,2007,29/10,18:00,STVV,1-2,KRC Genk
1283,2006,2007,03/11,20:30,KRC Genk,4-0,Germinal Beerschot
1284,2006,2007,04/11,20:00,Cercle Brugge,2-2,Beveren
1285,2006,2007,04/11,20:00,KAA Gent,2-0,Roeselare
1286,2006,2007,04/11,20:00,Lierse SK,0-0,Bergen
1287,2006,2007,04/11,20:00,RWDM,1-1,Moeskroen
1288,2006,2007,05/11,18:00,Charleroi,1-2,Westerlo
1289,2006,2007,05/11,20:30,Standard,0-0,Anderlecht
1290,2006,2007,05/11,20:30,Zulte Waregem,3-0,STVV
1291,2006,2007,05/11,20:30,Sporting Lokeren,3-2,Club Brugge
1292,2006,2007,10/11,20:30,Westerlo,0-1,KRC Genk
1293,2006,2007,11/11,18:00,Club Brugge,2-0,Charleroi
1294,2006,2007,11/11,20:00,STVV,4-0,Lierse SK
1295,2006,2007,11/11,20:00,Germinal Beerschot,1-1,Zulte Waregem
1296,2006,2007,11/11,20:00,Moeskroen,1-1,Sporting Lokeren
1297,2006,2007,11/11,20:00,Roeselare,1-1,RWDM
1298,2006,2007,11/11,20:00,Beveren,1-0,KAA Gent
1299,2006,2007,11/11,20:00,Anderlecht,2-0,Cercle Brugge
1300,2006,2007,12/11,18:00,Bergen,2-3,Standard
1301,2006,2007,18/11,18:00,KAA Gent,2-1,Anderlecht
1302,2006,2007,18/11,20:00,Standard,1-2,STVV
1303,2006,2007,18/11,20:00,Cercle Brugge,3-0,Bergen
1304,2006,2007,18/11,20:00,Zulte Waregem,2-2,Westerlo
1305,2006,2007,18/11,20:00,Lierse SK,2-3,Germinal Beerschot
1306,2006,2007,18/11,20:00,Roeselare,2-1,Beveren
1307,2006,2007,18/11,20:00,RWDM,0-0,Sporting Lokeren
1308,2006,2007,19/11,18:00,KRC Genk,0-0,Club Brugge
1309,2006,2007,19/11,20:30,Charleroi,1-0,Moeskroen
1310,2006,2007,24/11,20:30,Germinal Beerschot,1-3,Standard
1311,2006,2007,25/11,20:00,Bergen,0-1,KAA Gent
1312,2006,2007,25/11,20:00,STVV,2-0,Cercle Brugge
1313,2006,2007,25/11,20:00,Westerlo,2-0,Lierse SK
1314,2006,2007,25/11,20:00,Moeskroen,2-2,KRC Genk
1315,2006,2007,25/11,20:00,Sporting Lokeren,0-0,Charleroi
1316,2006,2007,25/11,20:00,Beveren,2-2,RWDM
1317,2006,2007,26/11,18:00,Anderlecht,3-2,Roeselare
1318,2006,2007,26/11,20:30,Club Brugge,4-1,Zulte Waregem
1319,2006,2007,01/12,20:30,Beveren,1-1,Anderlecht
1320,2006,2007,02/12,18:00,RWDM,0-2,Charleroi
1321,2006,2007,02/12,20:00,Standard,3-0,Westerlo
1322,2006,2007,02/12,20:00,Cercle Brugge,1-2,Germinal Beerschot
1323,2006,2007,02/12,20:00,KAA Gent,3-1,STVV
1324,2006,2007,02/12,20:00,KRC Genk,1-0,Sporting Lokeren
1325,2006,2007,02/12,20:00,Zulte Waregem,0-0,Moeskroen
1326,2006,2007,02/12,20:00,Roeselare,2-1,Bergen
1327,2006,2007,03/12,18:00,Lierse SK,1-2,Club Brugge
1328,2006,2007,08/12,20:30,Charleroi,4-1,KRC Genk
1329,2006,2007,09/12,20:00,Bergen,1-0,Beveren
1330,2006,2007,09/12,20:00,STVV,1-1,Roeselare
1331,2006,2007,09/12,20:00,Germinal Beerschot,0-3,KAA Gent
1332,2006,2007,09/12,20:00,Westerlo,0-0,Cercle Brugge
1333,2006,2007,09/12,20:00,Moeskroen,2-2,Lierse SK
1334,2006,2007,09/12,20:00,Sporting Lokeren,0-2,Zulte Waregem
1335,2006,2007,10/12,13:00,Club Brugge,4-4,Standard
1336,2006,2007,10/12,18:00,RWDM,0-1,Anderlecht
1337,2006,2007,15/12,20:30,Standard,2-0,Moeskroen
1338,2006,2007,16/12,20:00,KAA Gent,2-0,Westerlo
1339,2006,2007,16/12,20:00,KRC Genk,3-1,RWDM
1340,2006,2007,16/12,20:00,Lierse SK,1-0,Sporting Lokeren
1341,2006,2007,16/12,20:00,Roeselare,1-1,Germinal Beerschot
1342,2006,2007,16/12,20:00,Beveren,1-2,STVV
1343,2006,2007,16/12,20:00,Anderlecht,4-1,Bergen
1344,2006,2007,17/12,18:00,Cercle Brugge,1-0,Club Brugge
1345,2006,2007,17/12,20:30,Zulte Waregem,1-0,Charleroi
1346,2006,2007,20/12,20:15,Anderlecht,3-1,Zulte Waregem
1347,2006,2007,19/01,20:30,Zulte Waregem,2-2,KRC Genk
1348,2006,2007,20/01,20:00,Anderlecht,2-0,STVV
1349,2006,2007,20/01,20:00,Beveren,1-1,Germinal Beerschot
1350,2006,2007,20/01,20:00,Roeselare,2-0,Westerlo
1351,2006,2007,20/01,20:00,Cercle Brugge,2-1,Moeskroen
1352,2006,2007,20/01,20:00,Lierse SK,2-1,Charleroi
1353,2006,2007,20/01,20:00,Bergen,1-1,RWDM
1354,2006,2007,21/01,13:00,KAA Gent,0-0,Club Brugge
1355,2006,2007,21/01,18:00,Standard,3-1,Sporting Lokeren
1356,2006,2007,26/01,20:30,Charleroi,2-5,Standard
1357,2006,2007,27/01,18:00,Moeskroen,0-3,KAA Gent
1358,2006,2007,27/01,20:00,STVV,1-0,Bergen
1359,2006,2007,27/01,20:00,RWDM,2-0,Zulte Waregem
1360,2006,2007,27/01,20:00,KRC Genk,3-0,Lierse SK
1361,2006,2007,27/01,20:00,Sporting Lokeren,2-0,Cercle Brugge
1362,2006,2007,27/01,20:00,Club Brugge,0-1,Roeselare
1363,2006,2007,27/01,20:00,Westerlo,2-0,Beveren
1364,2006,2007,28/01,18:00,Germinal Beerschot,1-3,Anderlecht
1365,2006,2007,02/02,20:30,Beveren,0-2,Club Brugge
1366,2006,2007,03/02,18:00,KAA Gent,3-1,Sporting Lokeren
1367,2006,2007,03/02,20:00,Roeselare,2-1,Moeskroen
1368,2006,2007,03/02,20:00,Cercle Brugge,0-0,Charleroi
1369,2006,2007,03/02,20:00,STVV,2-2,RWDM
1370,2006,2007,03/02,20:00,Lierse SK,1-0,Zulte Waregem
1371,2006,2007,03/02,20:00,Bergen,2-1,Germinal Beerschot
1372,2006,2007,03/02,20:00,Anderlecht,1-0,Westerlo
1373,2006,2007,04/02,18:00,Standard,2-1,KRC Genk
1374,2006,2007,10/02,18:00,Zulte Waregem,3-1,Standard
1375,2006,2007,10/02,20:00,Westerlo,2-1,Bergen
1376,2006,2007,10/02,20:00,Germinal Beerschot,3-2,STVV
1377,2006,2007,10/02,20:00,RWDM,2-1,Lierse SK
1378,2006,2007,10/02,20:00,KRC Genk,3-0,Cercle Brugge
1379,2006,2007,10/02,20:00,Sporting Lokeren,1-1,Roeselare
1380,2006,2007,10/02,20:00,Moeskroen,4-2,Beveren
1381,2006,2007,11/02,13:00,Club Brugge,2-2,Anderlecht
1382,2006,2007,11/02,18:00,Charleroi,1-0,KAA Gent
1383,2006,2007,16/02,20:30,Bergen,1-0,Club Brugge
1384,2006,2007,17/02,18:00,Beveren,3-2,Sporting Lokeren
1385,2006,2007,17/02,20:00,Standard,3-2,Lierse SK
1386,2006,2007,17/02,20:00,STVV,0-2,Westerlo
1387,2006,2007,17/02,20:00,Anderlecht,2-1,Moeskroen
1388,2006,2007,17/02,20:00,Roeselare,1-3,Charleroi
1389,2006,2007,17/02,20:00,Germinal Beerschot,3-0,RWDM
1390,2006,2007,18/02,18:00,KAA Gent,1-3,KRC Genk
1391,2006,2007,18/02,20:30,Cercle Brugge,2-0,Zulte Waregem
1392,2006,2007,23/02,20:30,Club Brugge,1-0,STVV
1393,2006,2007,24/02,20:00,Westerlo,1-1,Germinal Beerschot
1394,2006,2007,24/02,20:00,RWDM,0-3,Standard
1395,2006,2007,24/02,20:00,Lierse SK,0-2,Cercle Brugge
1396,2006,2007,24/02,20:00,KRC Genk,3-0,Roeselare
1397,2006,2007,24/02,20:00,Charleroi,2-1,Beveren
1398,2006,2007,24/02,20:00,Moeskroen,2-2,Bergen
1399,2006,2007,25/02,18:00,Sporting Lokeren,1-1,Anderlecht
1400,2006,2007,25/02,20:30,Zulte Waregem,3-2,KAA Gent
1401,2006,2007,02/03,20:30,Roeselare,3-1,Zulte Waregem
1402,2006,2007,03/03,18:00,Beveren,0-5,KRC Genk
1403,2006,2007,03/03,20:00,KAA Gent,4-0,Lierse SK
1404,2006,2007,03/03,20:00,Cercle Brugge,0-2,Standard
1405,2006,2007,03/03,20:00,STVV,1-1,Moeskroen
1406,2006,2007,03/03,20:00,Bergen,1-0,Sporting Lokeren
1407,2006,2007,03/03,20:00,Anderlecht,3-2,Charleroi
1408,2006,2007,03/03,20:00,Westerlo,1-1,RWDM
1409,2006,2007,04/03,18:00,Germinal Beerschot,4-0,Club Brugge
1410,2006,2007,09/03,20:30,Charleroi,1-0,Bergen
1411,2006,2007,10/03,18:00,Standard,0-1,KAA Gent
1412,2006,2007,10/03,20:00,Zulte Waregem,2-1,Beveren
1413,2006,2007,10/03,20:00,Sporting Lokeren,1-1,STVV
1414,2006,2007,10/03,20:00,Moeskroen,1-0,Germinal Beerschot
1415,2006,2007,10/03,20:00,Club Brugge,2-0,Westerlo
1416,2006,2007,10/03,20:00,RWDM,0-0,Cercle Brugge
1417,2006,2007,10/03,20:00,Lierse SK,3-1,Roeselare
1418,2006,2007,11/03,18:00,KRC Genk,1-1,Anderlecht
1419,2006,2007,16/03,20:30,Germinal Beerschot,1-2,Sporting Lokeren
1420,2006,2007,17/03,20:00,Bergen,5-0,KRC Genk
1421,2006,2007,17/03,20:00,Anderlecht,0-0,Zulte Waregem
1422,2006,2007,17/03,20:00,Beveren,1-1,Lierse SK
1423,2006,2007,17/03,20:00,Westerlo,1-0,Moeskroen
1424,2006,2007,17/03,20:00,STVV,1-1,Charleroi
1425,2006,2007,17/03,20:00,Club Brugge,4-1,RWDM
1426,2006,2007,18/03,18:00,KAA Gent,0-2,Cercle Brugge
1427,2006,2007,18/03,20:30,Roeselare,2-3,Standard
1428,2006,2007,30/03,20:30,RWDM,1-1,KAA Gent
1429,2006,2007,31/03,20:00,Zulte Waregem,1-2,Bergen
1430,2006,2007,31/03,20:00,Charleroi,3-3,Germinal Beerschot
1431,2006,2007,31/03,20:00,Sporting Lokeren,1-1,Westerlo
1432,2006,2007,31/03,20:00,Cercle Brugge,1-1,Roeselare
1433,2006,2007,31/03,20:00,Standard,0-0,Beveren
1434,2006,2007,31/03,20:00,Lierse SK,1-4,Anderlecht
1435,2006,2007,01/04,18:00,Moeskroen,2-1,Club Brugge
1436,2006,2007,01/04,20:30,KRC Genk,2-0,STVV
1437,2006,2007,06/04,20:30,Anderlecht,1-0,Standard
1438,2006,2007,07/04,20:00,Roeselare,1-3,KAA Gent
1439,2006,2007,07/04,20:00,Club Brugge,2-2,Sporting Lokeren
1440,2006,2007,07/04,20:00,Moeskroen,2-2,RWDM
1441,2006,2007,07/04,20:00,Beveren,1-1,Cercle Brugge
1442,2006,2007,07/04,20:00,STVV,2-2,Zulte Waregem
1443,2006,2007,07/04,20:00,Bergen,1-1,Lierse SK
1444,2006,2007,08/04,18:00,Westerlo,0-1,Charleroi
1445,2006,2007,08/04,20:30,Germinal Beerschot,2-1,KRC Genk
1446,2006,2007,13/04,20:30,Cercle Brugge,0-1,Anderlecht
1447,2006,2007,14/04,20:00,Standard,1-0,Bergen
1448,2006,2007,14/04,20:00,Lierse SK,0-0,STVV
1449,2006,2007,14/04,20:00,Zulte Waregem,0-2,Germinal Beerschot
1450,2006,2007,14/04,20:00,KRC Genk,3-1,Westerlo
1451,2006,2007,14/04,20:00,Sporting Lokeren,1-1,Moeskroen
1452,2006,2007,14/04,20:00,RWDM,6-2,Roeselare
1453,2006,2007,15/04,18:00,KAA Gent,2-1,Beveren
1454,2006,2007,15/04,20:30,Charleroi,1-1,Club Brugge
1455,2006,2007,20/04,20:30,Germinal Beerschot,2-3,Lierse SK
1456,2006,2007,21/04,20:00,Westerlo,4-2,Zulte Waregem
1457,2006,2007,21/04,20:00,STVV,0-3,Standard
1458,2006,2007,21/04,20:00,Bergen,1-0,Cercle Brugge
1459,2006,2007,21/04,20:00,Beveren,2-2,Roeselare
1460,2006,2007,21/04,20:00,Moeskroen,2-1,Charleroi
1461,2006,2007,21/04,20:00,Sporting Lokeren,0-0,RWDM
1462,2006,2007,22/04,18:00,Anderlecht,1-0,KAA Gent
1463,2006,2007,22/04,20:30,Club Brugge,0-1,KRC Genk
1464,2006,2007,27/04,20:30,Standard,2-2,Germinal Beerschot
1465,2006,2007,28/04,20:00,Lierse SK,1-1,Westerlo
