Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Uitploeg,NaamScorendePloeg,GoalTijdstip,GoalScorer,StandThuisploeg,StandUitploeg,Thuisploeg_stamnummer,Uitploeg_stamnummer
4009665,1966-1967,3,1966/09/18,15:00:00,KV Mechelen,Association Royale Athlétique Gent,KV Mechelen,20:45,Kamiel van Damme,1,1,25,7
4010631,1970-1971,4,1970/09/27,15:00:00,RFC Luik,SK Beveren-Waes,RFC Luik,20:45,Dragomir Slišković,3,0,4,2300
4011585,1974-1975,3,1974/08/28,19:30:00,R Charleroi SC,R Antwerp FC,R Antwerp FC,01:15,Karl Kodat,1,2,22,1
4013233,1979-1980,4,1979/09/08,20:00:00,Waterschei THOR,Standard Luik,Standard Luik,01:45,Ralf Edström,1,3,553,16
