Seizoen,Speeldag,Roepnaam,AantalFouten,FoutType
1960.0,12,Patro Eisden,1,AantalGespeeldCorrect
1960.0,12,RFC Luik,1,AantalGespeeldCorrect
1960.0,12,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,12,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,12,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,12,Standard Luik,1,AantalGespeeldCorrect
1960.0,12,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,12,Verviétois,1,AantalGespeeldCorrect
1960.0,12,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,13,Beerschot,1,AantalGespeeldCorrect
1960.0,13,Club Brugge,1,AantalGespeeldCorrect
1960.0,13,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,13,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,13,KAA Gent,1,AantalGespeeldCorrect
1960.0,13,Lierse SK,1,AantalGespeeldCorrect
1960.0,13,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,13,Patro Eisden,1,AantalGespeeldCorrect
1960.0,13,RFC Luik,1,AantalGespeeldCorrect
1960.0,13,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,13,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,13,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,13,Standard Luik,1,AantalGespeeldCorrect
1960.0,13,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,13,Verviétois,1,AantalGespeeldCorrect
1960.0,13,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,14,Beerschot,1,AantalGespeeldCorrect
1960.0,14,Club Brugge,1,AantalGespeeldCorrect
1960.0,14,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,14,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,14,KAA Gent,1,AantalGespeeldCorrect
1960.0,14,Lierse SK,1,AantalGespeeldCorrect
1960.0,14,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,14,Patro Eisden,1,AantalGespeeldCorrect
1960.0,14,RFC Luik,1,AantalGespeeldCorrect
1960.0,14,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,14,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,14,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,14,Standard Luik,1,AantalGespeeldCorrect
1960.0,14,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,14,Verviétois,1,AantalGespeeldCorrect
1960.0,14,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,15,Beerschot,1,AantalGespeeldCorrect
1960.0,15,Club Brugge,1,AantalGespeeldCorrect
1960.0,15,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,15,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,15,KAA Gent,1,AantalGespeeldCorrect
1960.0,15,Lierse SK,1,AantalGespeeldCorrect
1960.0,15,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,15,Patro Eisden,1,AantalGespeeldCorrect
1960.0,15,RFC Luik,1,AantalGespeeldCorrect
1960.0,15,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,15,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,15,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,15,Standard Luik,1,AantalGespeeldCorrect
1960.0,15,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,15,Verviétois,1,AantalGespeeldCorrect
1960.0,15,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,16,Beerschot,1,AantalGespeeldCorrect
1960.0,16,Club Brugge,1,AantalGespeeldCorrect
1960.0,16,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,16,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,16,KAA Gent,1,AantalGespeeldCorrect
1960.0,16,Lierse SK,1,AantalGespeeldCorrect
1960.0,16,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,16,Patro Eisden,1,AantalGespeeldCorrect
1960.0,16,RFC Luik,1,AantalGespeeldCorrect
1960.0,16,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,16,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,16,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,16,Standard Luik,1,AantalGespeeldCorrect
1960.0,16,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,16,Verviétois,1,AantalGespeeldCorrect
1960.0,16,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,17,Beerschot,1,AantalGespeeldCorrect
1960.0,17,Club Brugge,1,AantalGespeeldCorrect
1960.0,17,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,17,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,17,KAA Gent,1,AantalGespeeldCorrect
1960.0,17,Lierse SK,1,AantalGespeeldCorrect
1960.0,17,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,17,Patro Eisden,1,AantalGespeeldCorrect
1960.0,17,RFC Luik,1,AantalGespeeldCorrect
1960.0,17,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,17,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,17,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,17,Standard Luik,1,AantalGespeeldCorrect
1960.0,17,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,17,Verviétois,1,AantalGespeeldCorrect
1960.0,17,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,18,Beerschot,1,AantalGespeeldCorrect
1960.0,18,Club Brugge,1,AantalGespeeldCorrect
1960.0,18,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,18,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,18,KAA Gent,1,AantalGespeeldCorrect
1960.0,18,Lierse SK,1,AantalGespeeldCorrect
1960.0,18,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,18,Patro Eisden,1,AantalGespeeldCorrect
1960.0,18,RFC Luik,1,AantalGespeeldCorrect
1960.0,18,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,18,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,18,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,18,Standard Luik,1,AantalGespeeldCorrect
1960.0,18,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,18,Verviétois,1,AantalGespeeldCorrect
1960.0,18,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,19,Beerschot,1,AantalGespeeldCorrect
1960.0,19,Club Brugge,1,AantalGespeeldCorrect
1960.0,19,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,19,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,19,KAA Gent,1,AantalGespeeldCorrect
1960.0,19,Lierse SK,1,AantalGespeeldCorrect
1960.0,19,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,19,Patro Eisden,1,AantalGespeeldCorrect
1960.0,19,RFC Luik,1,AantalGespeeldCorrect
1960.0,19,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,19,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,19,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,19,Standard Luik,1,AantalGespeeldCorrect
1960.0,19,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,19,Verviétois,1,AantalGespeeldCorrect
1960.0,19,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,2,Beerschot,1,AantalGespeeldCorrect
1960.0,2,Club Brugge,1,AantalGespeeldCorrect
1960.0,2,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,2,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,2,KAA Gent,1,AantalGespeeldCorrect
1960.0,2,Lierse SK,1,AantalGespeeldCorrect
1960.0,2,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,2,Patro Eisden,1,AantalGespeeldCorrect
1960.0,2,RFC Luik,1,AantalGespeeldCorrect
