Seizoen,Speeldag,Match-ID,Datum,Tijdstip,Naam thuisploeg,Resultaat thuisploeg,Resultaat uitploeg,Naam uitploeg
1961-1962,1,4008443,"zaterdag,za2 sep. 1961",19:30 uur,(7.)ARA Gent,2,2,Daring Club(6.)
1961-1962,1,4008444,"zondag,zo3 sep. 1961",15:00 uur,(2.)Standard Luik,1,1,Beerschot AC(9.)
1961-1962,1,4008445,"zondag,zo3 sep. 1961",15:00 uur,(11.)Lierse SK,2,3,Eendracht Aalst(16.)
1961-1962,1,4008446,"zondag,zo3 sep. 1961",15:00 uur,(1.)RSC Anderlecht,6,1,Waterschei THOR(14.)
1961-1962,1,4008447,"zondag,zo3 sep. 1961",15:00 uur,(3.)Antwerp FC,3,1,RFC Luik(4.)
1961-1962,1,4008448,"zondag,zo3 sep. 1961",15:00 uur,(15.)Cercle Brugge,3,1,KFC Diest(13.)
1961-1962,1,4008449,"zondag,zo3 sep. 1961",15:00 uur,(10.)Union SG,1,2,Club Brugge(5.)
1961-1962,1,4008450,"zondag,zo3 sep. 1961",15:00 uur,(8.)St-Truidense VV,3,0,Olymp. Charleroi(12.)
1961-1962,2,4008451,"zondag,zo10 sep. 1961",15:00 uur,(6.)Club Brugge,3,2,Standard Luik(10.)
1961-1962,2,,"zondag,zo10 sep. 1961",15:00 uur,(5.)Eendracht Aalst,3,2,St-Truidense VV(2.)
1961-1962,2,4008453,"zondag,zo10 sep. 1961",15:00 uur,(14.)KFC Diest,0,3,RSC Anderlecht(1.)
1961-1962,2,,"zondag,zo10 sep. 1961",15:00 uur,(8.)Daring Club,1,4,Antwerp FC(4.)
1961-1962,2,,"zondag,zo10 sep. 1961",15:00 uur,(9.)Beerschot AC,2,2,Lierse SK(11.)
1961-1962,2,4008456,"zondag,zo10 sep. 1961",15:00 uur,(13.)RFC Luik,3,0,Cercle Brugge(3.)
1961-1962,2,,"zondag,zo10 sep. 1961",15:00 uur,(16.)Waterschei THOR,1,3,ARA Gent(7.)
1961-1962,2,,"zondag,zo10 sep. 1961",15:00 uur,(15.)Olymp. Charleroi,1,0,Union SG(12.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(12.)Standard Luik,1,1,Daring Club(13.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(4.)Club Brugge,1,0,Eendracht Aalst(3.)
1961-1962,3,4008461,"zondag,zo17 sep. 1961",15:00 uur,(2.)Antwerp FC,1,4,RSC Anderlecht(1.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(6.)St-Truidense VV,1,2,Beerschot AC(8.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(10.)Olymp. Charleroi,7,2,Cercle Brugge(9.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(5.)ARA Gent,1,0,KFC Diest(15.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(14.)Union SG,0,0,RFC Luik(7.)
1961-1962,3,,"zondag,zo17 sep. 1961",15:00 uur,(11.)Lierse SK,2,4,Waterschei THOR(16.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(16.)KFC Diest,0,1,Standard Luik(10.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(6.)Eendracht Aalst,2,0,Union SG(14.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(1.)RSC Anderlecht,2,0,Club Brugge(2.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(12.)Waterschei THOR,1,1,Antwerp FC(5.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(7.)Beerschot AC,2,0,Olymp. Charleroi(4.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(13.)Cercle Brugge,1,3,ARA Gent(3.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(11.)Daring Club,1,1,St-Truidense VV(9.)
1961-1962,4,,"zondag,zo24 sep. 1961",15:00 uur,(8.)RFC Luik,1,0,Lierse SK(15.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(8.)Olymp. Charleroi,1,2,Standard Luik(9.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(3.)Eendracht Aalst,2,0,Waterschei THOR(12.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(7.)RFC Luik,1,2,RSC Anderlecht(1.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(6.)Antwerp FC,0,1,Beerschot AC(4.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(14.)Lierse SK,3,5,Cercle Brugge(13.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(5.)Club Brugge,1,1,Daring Club(11.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(15.)Union SG,1,0,KFC Diest(16.)
1961-1962,5,,"zondag,zo1 okt. 1961",15:00 uur,(10.)St-Truidense VV,1,2,ARA Gent(2.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(6.)Standard Luik,2,1,RFC Luik(8.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(4.)Beerschot AC,1,1,Eendracht Aalst(3.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(1.)RSC Anderlecht,1,1,Lierse SK(15.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(2.)ARA Gent,2,6,Antwerp FC(7.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(11.)Cercle Brugge,0,2,Club Brugge(5.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(10.)Daring Club,1,3,Olymp. Charleroi(9.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(16.)KFC Diest,2,2,St-Truidense VV(12.)
1961-1962,6,,"zondag,zo8 okt. 1961",15:00 uur,(14.)Waterschei THOR,1,1,Union SG(13.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(6.)Standard Luik,7,1,Cercle Brugge(14.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(2.)Eendracht Aalst,1,2,KFC Diest(16.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(12.)Daring Club,0,2,RSC Anderlecht(1.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(11.)Union SG,1,3,Antwerp FC(7.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(3.)Beerschot AC,1,2,RFC Luik(9.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(4.)Club Brugge,1,4,Lierse SK(15.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(8.)Olymp. Charleroi,0,0,ARA Gent(5.)
1961-1962,7,,"zondag,zo15 okt. 1961",15:00 uur,(10.)St-Truidense VV,4,1,Waterschei THOR(13.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(14.)Waterschei THOR,2,0,Standard Luik(2.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(9.)RFC Luik,2,1,Eendracht Aalst(5.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(1.)RSC Anderlecht,1,1,Union SG(12.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(4.)Antwerp FC,0,3,Olymp. Charleroi(8.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(15.)Cercle Brugge,0,0,Beerschot AC(6.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(3.)ARA Gent,0,0,Club Brugge(7.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(16.)KFC Diest,3,1,Daring Club(13.)
1961-1962,8,,"zondag,zo22 okt. 1961",15:00 uur,(11.)Lierse SK,1,3,St-Truidense VV(10.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(3.)Standard Luik,4,1,Lierse SK(15.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(16.)Daring Club,3,0,Eendracht Aalst(8.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(2.)ARA Gent,1,5,RSC Anderlecht(1.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(14.)Cercle Brugge,3,1,Antwerp FC(7.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(4.)Beerschot AC,2,1,Union SG(13.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(10.)St-Truidense VV,1,2,Club Brugge(5.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(12.)KFC Diest,5,3,Waterschei THOR(11.)
1961-1962,9,,"zondag,zo29 okt. 1961",15:00 uur,(6.)Olymp. Charleroi,0,0,RFC Luik(9.)
1961-1962,10,,"zaterdag,za4 nov. 1961",19:30 uur,(1.)RSC Anderlecht,2,1,Cercle Brugge(12.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(9.)Eendracht Aalst,0,5,Standard Luik(2.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(8.)Antwerp FC,1,1,St-Truidense VV(10.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(14.)Waterschei THOR,1,1,Beerschot AC(3.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(4.)Club Brugge,3,0,Olymp. Charleroi(6.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(15.)Union SG,2,3,Daring Club(13.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(16.)Lierse SK,1,2,KFC Diest(11.)
1961-1962,10,,"zondag,zo5 nov. 1961",15:00 uur,(7.)RFC Luik,4,0,ARA Gent(5.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(2.)Standard Luik,2,1,RSC Anderlecht(1.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(8.)Olymp. Charleroi,0,0,Eendracht Aalst(11.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(10.)KFC Diest,1,1,Antwerp FC(7.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(4.)Beerschot AC,1,0,Club Brugge(3.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(14.)Cercle Brugge,5,1,Waterschei THOR(13.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(12.)Daring Club,1,2,RFC Luik(5.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(6.)ARA Gent,3,1,Lierse SK(16.)
1961-1962,11,,"zondag,zo19 nov. 1961",15:00 uur,(9.)St-Truidense VV,1,3,Union SG(15.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(14.)Union SG,0,2,Standard Luik(2.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(10.)Eendracht Aalst,0,1,ARA Gent(6.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(8.)Olymp. Charleroi,1,3,RSC Anderlecht(1.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(16.)Lierse SK,5,1,Antwerp FC(7.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(3.)Beerschot AC,2,2,Daring Club(13.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(11.)St-Truidense VV,0,0,Cercle Brugge(12.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(5.)Club Brugge,3,0,KFC Diest(9.)
1961-1962,12,,"zondag,zo26 nov. 1961",15:00 uur,(4.)RFC Luik,0,2,Waterschei THOR(15.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(2.)Standard Luik,2,0,St-Truidense VV(9.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(1.)RSC Anderlecht,2,0,Eendracht Aalst(11.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(8.)Antwerp FC,1,1,Club Brugge(3.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(5.)ARA Gent,3,0,Beerschot AC(4.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(12.)Cercle Brugge,1,4,Union SG(15.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(16.)Lierse SK,1,2,Daring Club(13.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(10.)KFC Diest,1,0,RFC Luik(6.)
1961-1962,13,,"zondag,zo3 dec. 1961",14:45 uur,(14.)Waterschei THOR,1,1,Olymp. Charleroi(7.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(2.)Standard Luik,0,0,ARA Gent(4.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(12.)Eendracht Aalst,1,2,Antwerp FC(8.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(5.)Beerschot AC,1,5,RSC Anderlecht(1.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(10.)Daring Club,5,0,Cercle Brugge(13.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(3.)Club Brugge,1,0,Waterschei THOR(14.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(7.)Olymp. Charleroi,1,2,KFC Diest(9.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(11.)St-Truidense VV,0,1,RFC Luik(6.)
1961-1962,14,,"zondag,zo10 dec. 1961",14:45 uur,(15.)Union SG,3,1,Lierse SK(16.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(7.)Antwerp FC,2,0,Standard Luik(2.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(15.)Cercle Brugge,5,0,Eendracht Aalst(13.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(1.)RSC Anderlecht,3,2,St-Truidense VV(12.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(8.)KFC Diest,0,0,Beerschot AC(6.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(5.)RFC Luik,1,0,Club Brugge(3.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(14.)Waterschei THOR,1,2,Daring Club(9.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(4.)ARA Gent,0,1,Union SG(11.)
1961-1962,15,,"zondag,zo17 dec. 1961",14:45 uur,(16.)Lierse SK,1,0,Olymp. Charleroi(10.)
1961-1962,16,,"zondag,zo31 dec. 1961",14:45 uur,(6.)Beerschot AC,0,1,Standard Luik(2.)
1961-1962,16,,"zondag,zo31 dec. 1961",14:45 uur,(15.)Eendracht Aalst,1,0,Lierse SK(16.)
1961-1962,16,,"zondag,zo31 dec. 1961",14:45 uur,(14.)Waterschei THOR,0,4,RSC Anderlecht(1.)
1961-1962,16,,"zondag,zo31 dec. 1961",14:45 uur,(4.)RFC Luik,0,0,Antwerp FC(7.)
1961-1962,16,,"zondag,zo31 dec. 1961",14:45 uur,(3.)Club Brugge,3,1,Union SG(10.)
1961-1962,16,,"zondag,zo31 dec. 1961",14:45 uur,(8.)Daring Club,0,0,ARA Gent(5.)
1961-1962,16,,"zondag,zo4 mrt. 1962",15:00 uur,(11.)Olymp. Charleroi,0,2,St-Truidense VV(13.)
1961-1962,16,,"zondag,zo11 mrt. 1962",15:00 uur,(9.)KFC Diest,2,0,Cercle Brugge(12.)
1961-1962,17,,"zondag,zo7 jan. 1962",14:45 uur,(2.)Standard Luik,3,0,Club Brugge(3.)
1961-1962,17,,"zondag,zo7 jan. 1962",14:45 uur,(1.)RSC Anderlecht,3,2,KFC Diest(7.)
1961-1962,17,,"zondag,zo7 jan. 1962",14:45 uur,(6.)Antwerp FC,3,1,Daring Club(9.)
1961-1962,17,,"zondag,zo7 jan. 1962",14:45 uur,(16.)Lierse SK,2,1,Beerschot AC(8.)
1961-1962,17,,"zondag,zo4 mrt. 1962",15:00 uur,(14.)Cercle Brugge,3,0,RFC Luik(4.)
1961-1962,17,,"zondag,zo11 mrt. 1962",15:00 uur,(11.)St-Truidense VV,5,1,Eendracht Aalst(13.)
1961-1962,17,,"zondag,zo11 mrt. 1962",15:00 uur,(5.)ARA Gent,2,2,Waterschei THOR(15.)
1961-1962,17,,"zondag,zo11 mrt. 1962",15:00 uur,(10.)Union SG,1,0,Olymp. Charleroi(12.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(12.)Cercle Brugge,1,2,Lierse SK(16.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(9.)Daring Club,1,1,Club Brugge(3.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(7.)KFC Diest,3,1,Union SG(10.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(4.)ARA Gent,3,0,St-Truidense VV(11.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(2.)Standard Luik,1,0,Olymp. Charleroi(13.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(15.)Waterschei THOR,2,2,Eendracht Aalst(14.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(1.)RSC Anderlecht,1,0,RFC Luik(6.)
1961-1962,18,,"zondag,zo14 jan. 1962",14:45 uur,(8.)Beerschot AC,1,1,Antwerp FC(5.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(6.)RFC Luik,1,0,Standard Luik(2.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(13.)Eendracht Aalst,0,0,Beerschot AC(8.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(15.)Lierse SK,2,3,RSC Anderlecht(1.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(5.)Antwerp FC,2,1,ARA Gent(4.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(3.)Club Brugge,1,1,Cercle Brugge(12.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(14.)Olymp. Charleroi,3,0,Daring Club(9.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(11.)St-Truidense VV,2,0,KFC Diest(7.)
1961-1962,19,,"zondag,zo21 jan. 1962",15:00 uur,(10.)Union SG,2,1,Waterschei THOR(16.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(2.)Standard Luik,2,0,Union SG(9.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(5.)ARA Gent,2,1,Eendracht Aalst(14.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(1.)RSC Anderlecht,3,0,Olymp. Charleroi(13.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(4.)Antwerp FC,1,1,Lierse SK(15.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(10.)Daring Club,3,1,Beerschot AC(8.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(12.)Cercle Brugge,0,0,St-Truidense VV(11.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(7.)KFC Diest,0,4,Club Brugge(3.)
1961-1962,20,,"zondag,zo28 jan. 1962",15:00 uur,(16.)Waterschei THOR,2,2,RFC Luik(6.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(10.)St-Truidense VV,3,1,Standard Luik(2.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(14.)Eendracht Aalst,0,0,RSC Anderlecht(1.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(3.)Club Brugge,0,2,Antwerp FC(5.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(9.)Beerschot AC,5,0,ARA Gent(4.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(11.)Union SG,1,1,Cercle Brugge(12.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(6.)RFC Luik,1,1,KFC Diest(8.)
1961-1962,21,,"zondag,zo4 feb. 1962",15:00 uur,(13.)Olymp. Charleroi,3,0,Waterschei THOR(16.)
1961-1962,21,,"zondag,zo4 mrt. 1962",15:00 uur,(7.)Daring Club,1,2,Lierse SK(15.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(15.)Eendracht Aalst,1,3,Daring Club(10.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(1.)RSC Anderlecht,4,2,ARA Gent(5.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(4.)Antwerp FC,5,1,Cercle Brugge(12.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(11.)Union SG,3,0,Beerschot AC(7.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(3.)Club Brugge,2,2,St-Truidense VV(9.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(16.)Waterschei THOR,2,0,KFC Diest(8.)
1961-1962,22,,"zondag,zo11 feb. 1962",15:00 uur,(6.)RFC Luik,2,0,Olymp. Charleroi(13.)
1961-1962,22,,"zondag,zo11 mrt. 1962",15:00 uur,(14.)Lierse SK,2,1,Standard Luik(2.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(2.)Standard Luik,3,1,Eendracht Aalst(16.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(13.)Cercle Brugge,0,3,RSC Anderlecht(1.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(9.)St-Truidense VV,2,3,Antwerp FC(3.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(8.)Beerschot AC,0,2,Waterschei THOR(15.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(14.)Olymp. Charleroi,2,2,Club Brugge(4.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(7.)Daring Club,1,0,Union SG(10.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(11.)KFC Diest,0,0,Lierse SK(12.)
1961-1962,23,,"zondag,zo18 feb. 1962",15:00 uur,(6.)ARA Gent,0,0,RFC Luik(5.)
1961-1962,24,,"zaterdag,za24 feb. 1962",18:00 uur,(11.)Union SG,2,0,St-Truidense VV(10.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(1.)RSC Anderlecht,2,0,Standard Luik(2.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(16.)Eendracht Aalst,0,2,Olymp. Charleroi(13.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(3.)Antwerp FC,2,2,KFC Diest(9.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(4.)Club Brugge,1,0,Beerschot AC(8.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(14.)Waterschei THOR,2,0,Cercle Brugge(15.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(5.)RFC Luik,0,0,Daring Club(7.)
1961-1962,24,,"zondag,zo25 feb. 1962",15:00 uur,(12.)Lierse SK,2,1,ARA Gent(6.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(15.)Cercle Brugge,2,1,Standard Luik(2.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(9.)KFC Diest,2,3,Eendracht Aalst(16.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(1.)RSC Anderlecht,2,0,Daring Club(7.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(3.)Antwerp FC,2,1,Union SG(8.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(5.)RFC Luik,2,0,Beerschot AC(10.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(12.)Lierse SK,2,1,Club Brugge(4.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(6.)ARA Gent,2,0,Olymp. Charleroi(13.)
1961-1962,25,,"zondag,zo18 mrt. 1962",15:00 uur,(14.)Waterschei THOR,1,1,St-Truidense VV(11.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(3.)Standard Luik,2,0,Waterschei THOR(13.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(16.)Eendracht Aalst,0,2,RFC Luik(5.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(8.)Union SG,0,0,RSC Anderlecht(1.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(14.)Olymp. Charleroi,2,2,Antwerp FC(2.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(12.)Beerschot AC,3,0,Cercle Brugge(15.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(4.)Club Brugge,2,1,ARA Gent(6.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(7.)Daring Club,1,0,KFC Diest(10.)
1961-1962,26,,"zondag,zo25 mrt. 1962",15:00 uur,(11.)St-Truidense VV,3,3,Lierse SK(9.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(7.)Daring Club,3,5,Standard Luik(2.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(16.)Eendracht Aalst,0,1,Club Brugge(5.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(1.)RSC Anderlecht,3,5,Antwerp FC(3.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(10.)Beerschot AC,0,1,St-Truidense VV(11.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(15.)Cercle Brugge,1,1,Olymp. Charleroi(13.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(12.)KFC Diest,4,2,ARA Gent(6.)
1961-1962,27,,"zondag,zo8 apr. 1962",15:00 uur,(4.)RFC Luik,0,0,Union SG(8.)
1961-1962,27,,"zondag,zo22 apr. 1962",15:00 uur,(14.)Waterschei THOR,3,1,Lierse SK(9.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(2.)Standard Luik,4,3,KFC Diest(10.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(9.)Union SG,4,1,Eendracht Aalst(16.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(4.)Club Brugge,1,1,RSC Anderlecht(1.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(3.)Antwerp FC,5,2,Waterschei THOR(13.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(14.)Olymp. Charleroi,0,0,Beerschot AC(12.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(6.)ARA Gent,0,1,Cercle Brugge(15.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(8.)St-Truidense VV,3,0,Daring Club(7.)
1961-1962,28,,"zondag,zo15 apr. 1962",15:00 uur,(11.)Lierse SK,2,2,RFC Luik(5.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(6.)ARA Gent,0,2,Standard Luik(2.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(3.)Antwerp FC,7,0,Eendracht Aalst(16.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(1.)RSC Anderlecht,1,1,Beerschot AC(11.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(15.)Cercle Brugge,0,4,Daring Club(9.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(14.)Waterschei THOR,3,1,Club Brugge(4.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(12.)KFC Diest,2,2,Olymp. Charleroi(13.)
1961-1962,29,,"zondag,zo29 apr. 1962",15:00 uur,(5.)RFC Luik,2,1,St-Truidense VV(7.)
