Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Resultaat_Thuisploeg,Resultaat_Uitploeg,Uitploeg
4098844,2023-2024,30,"zaterdag,za16 mrt. 2024",18:15 uur,Standard Luik,4,0,KAS Eupen
4098843,2023-2024,30,"zaterdag,za16 mrt. 2024",20:45 uur,RSC Anderlecht,0,1,KV Kortrijk
4098849,2023-2024,30,"zondag,zo17 mrt. 2024",13:30 uur,St-Truidense VV,2,1,Club Brugge
4098846,2023-2024,30,"zondag,zo17 mrt. 2024",16:00 uur,Antwerp FC,1,1,Union SG
4098845,2023-2024,30,"zondag,zo17 mrt. 2024",18:30 uur,KAA Gent,5,0,R Charleroi SC
4098847,2023-2024,30,"zondag,zo17 mrt. 2024",18:30 uur,OH Leuven,1,0,KV Mechelen
4098848,2023-2024,30,"zondag,zo17 mrt. 2024",18:30 uur,Cercle Brugge,4,0,RWDM
4098850,2023-2024,30,"zondag,zo17 mrt. 2024",18:30 uur,KVC Westerlo,1,1,KRC Genk
