Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Resultaat_Thuisploeg,Resultaat_Uitploeg,Uitploeg
4008252,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,Eendracht Aalst,3,1,Club Brugge
4008253,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,Antwerp FC,4,1,Verviétois
4008254,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,Daring Club,0,0,Beerschot AC
4008255,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,K Patro Eisden,2,1,Waterschei THOR
4008256,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,Lierse SK,1,0,ARA Gent
4008257,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,St-Truidense VV,1,0,RFC Luik
4008258,1960-1961,7,"zondag,zo23 okt. 1960",15:00 uur,Union SG,1,0,Olymp. Charleroi
4008259,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,Beerschot AC,1,2,Standard Luik
4008260,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,ARA Gent,1,2,Eendracht Aalst
4008261,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,RSC Anderlecht,2,2,Verviétois
4008262,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,Waterschei THOR,3,1,Antwerp FC
4008263,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,RFC Luik,1,1,Club Brugge
4008264,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,Daring Club,1,3,Union SG
4008265,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,Olymp. Charleroi,1,0,K Patro Eisden
4008266,1960-1961,8,"zondag,zo6 nov. 1960",15:00 uur,Lierse SK,2,0,St-Truidense VV
4008267,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,Standard Luik,2,1,Lierse SK
4008268,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,Eendracht Aalst,3,1,Waterschei THOR
4008269,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,Union SG,0,2,RSC Anderlecht
4008270,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,Antwerp FC,1,3,ARA Gent
4008271,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,K Patro Eisden,0,1,Beerschot AC
4008272,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,Club Brugge,4,2,Daring Club
4008273,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,Verviétois,0,1,RFC Luik
4008274,1960-1961,9,"zondag,zo13 nov. 1960",15:00 uur,St-Truidense VV,1,1,Olymp. Charleroi
4008275,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,ARA Gent,2,1,Standard Luik
4008276,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,Beerschot AC,9,2,Eendracht Aalst
4008277,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,RSC Anderlecht,3,2,Antwerp FC
4008278,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,Olymp. Charleroi,3,0,Club Brugge
4008279,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,Daring Club,2,0,Verviétois
4008280,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,RFC Luik,3,1,K Patro Eisden
4008281,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,Lierse SK,3,2,Union SG
4008282,1960-1961,10,"zondag,zo27 nov. 1960",15:00 uur,Waterschei THOR,2,1,St-Truidense VV
4008283,1960-1961,11,"zondag,zo4 dec. 1960",14:45 uur,Eendracht Aalst,2,0,K Patro Eisden
4008284,1960-1961,11,"zondag,zo4 dec. 1960",14:45 uur,RFC Luik,3,2,Beerschot AC
4008376,1960-1961,11,"zondag,zo12 mrt. 1961",15:00 uur,Club Brugge,2,0,St-Truidense VV
4008379,1960-1961,11,"zondag,zo12 mrt. 1961",15:00 uur,Waterschei THOR,5,0,Olymp. Charleroi
4008375,1960-1961,11,"zondag,zo12 mrt. 1961",16:00 uur,Union SG,0,0,Standard Luik
4008381,1960-1961,11,"zondag,zo19 mrt. 1961",15:00 uur,Antwerp FC,2,1,Lierse SK
4008391,1960-1961,11,"woensdag,wo29 mrt. 1961",19:30 uur,RSC Anderlecht,1,0,Daring Club
4008394,1960-1961,11,"zondag,zo2 apr. 1961",15:00 uur,Verviétois,2,2,ARA Gent
4008285,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,Standard Luik,1,2,Waterschei THOR
4008286,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,Eendracht Aalst,2,2,RFC Luik
4008287,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,K Patro Eisden,0,1,RSC Anderlecht
4008288,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,Antwerp FC,1,0,Olymp. Charleroi
4008289,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,Union SG,1,3,Beerschot AC
4008290,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,Club Brugge,0,1,ARA Gent
4008291,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,St-Truidense VV,1,0,Daring Club
4008292,1960-1961,12,"zondag,zo11 dec. 1960",14:45 uur,Verviétois,2,0,Lierse SK
4008293,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,Daring Club,3,1,Standard Luik
4008294,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,Lierse SK,3,1,Eendracht Aalst
4008295,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,RSC Anderlecht,0,0,Club Brugge
4008296,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,RFC Luik,1,1,Antwerp FC
4008297,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,Beerschot AC,1,1,St-Truidense VV
4008298,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,ARA Gent,1,1,K Patro Eisden
4008299,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,Olymp. Charleroi,0,0,Verviétois
4008300,1960-1961,13,"zondag,zo18 dec. 1960",14:45 uur,Waterschei THOR,4,0,Union SG
4008301,1960-1961,14,"zaterdag,za24 dec. 1960",17:00 uur,Beerschot AC,1,0,RSC Anderlecht
4008302,1960-1961,14,"zaterdag,za24 dec. 1960",17:00 uur,ARA Gent,1,3,Union SG
4008303,1960-1961,14,"zondag,zo25 dec. 1960",14:45 uur,St-Truidense VV,1,0,Antwerp FC
4008304,1960-1961,14,"zondag,zo25 dec. 1960",14:45 uur,Daring Club,3,0,Waterschei THOR
4008366,1960-1961,14,"woensdag,wo1 mrt. 1961",19:00 uur,Standard Luik,2,2,Club Brugge
4008377,1960-1961,14,"zondag,zo12 mrt. 1961",15:00 uur,K Patro Eisden,3,2,Verviétois
4008378,1960-1961,14,"zondag,zo12 mrt. 1961",15:00 uur,Lierse SK,1,1,RFC Luik
4008380,1960-1961,14,"zaterdag,za18 mrt. 1961",17:00 uur,Olymp. Charleroi,1,1,Eendracht Aalst
4008435,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,Antwerp FC,1,4,Standard Luik
4008436,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,Eendracht Aalst,1,2,Daring Club
4008437,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,RSC Anderlecht,0,5,ARA Gent
4008438,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,Waterschei THOR,2,3,Beerschot AC
4008439,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,Club Brugge,4,1,Lierse SK
4008440,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,Union SG,4,0,K Patro Eisden
4008441,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,RFC Luik,1,1,Olymp. Charleroi
4008442,1960-1961,15,"donderdag,do11 mei 1961",15:00 uur,Verviétois,1,3,St-Truidense VV
