KlassementKey,BeginDateKey,EindeDateKey,TeamKey,Stand,AantalGespeeld,AantalGewonnen,AantalGelijk,AantalVerloren,DoelpuntenVoor,DoelpuntenTegen,DoelpuntenSaldo,PuntenVoor2ptn,PuntenTegen2ptn,PuntenVoor3ptn
1,127,133,28,14,16,5,3,8,13,23,-10,13,19,18
2,127,133,50,15,16,2,5,9,15,31,-16,9,23,11
3,127,133,43,5,16,7,5,4,29,19,10,19,13,26
4,127,133,34,7,16,7,3,6,30,35,-5,17,15,24
5,127,133,19,8,16,7,2,7,32,24,8,16,16,23
6,127,133,17,10,16,7,1,8,22,31,-9,15,17,22
7,127,133,41,3,16,7,8,1,23,16,7,22,10,29
8,127,133,49,1,16,9,4,3,29,15,14,22,10,31
9,127,133,7,2,16,9,2,5,28,21,7,20,12,29
10,127,133,4,9,16,6,5,5,28,20,8,17,15,23
11,127,133,21,13,16,5,3,8,26,28,-2,13,19,18
12,127,133,53,4,16,8,3,5,30,22,8,19,13,27
13,127,133,1,11,16,4,7,5,21,23,-2,15,17,19
14,127,133,18,12,16,4,7,5,15,22,-7,15,17,19
15,127,133,39,6,16,8,1,7,29,22,7,17,15,25
16,127,133,29,16,16,2,3,11,11,29,-18,7,25,9
17,610,728,39,8,30,10,6,14,36,39,-3,26,34,36
18,610,728,1,5,30,13,9,8,41,34,7,35,25,48
19,610,728,18,14,30,8,9,13,37,39,-2,25,35,33
20,610,728,53,11,30,8,11,11,32,36,-4,27,33,35
21,610,728,21,3,30,15,10,5,67,43,24,40,20,55
22,610,728,7,6,30,11,8,11,46,47,-1,30,30,41
23,610,728,4,7,30,11,7,12,41,48,-7,29,31,40
24,610,728,49,2,30,18,4,8,57,31,26,40,20,58
25,610,728,41,4,30,13,10,7,34,24,10,36,24,49
26,610,728,43,1,30,21,7,2,75,29,46,49,11,70
27,610,728,57,13,30,9,6,15,39,64,-25,24,36,33
28,610,728,34,16,30,6,5,19,25,62,-37,17,43,23
29,610,728,17,9,30,10,6,14,49,58,-9,26,34,36
30,610,728,19,15,30,8,8,14,43,61,-18,24,36,32
31,610,728,28,10,30,9,9,12,50,45,5,27,33,36
32,610,728,36,12,30,9,7,14,40,52,-12,25,35,34
33,813,826,28,6,11,5,2,4,21,15,6,12,10,17
34,813,826,36,11,11,4,2,5,13,16,-3,10,12,14
35,813,826,48,12,11,4,2,5,9,12,-3,10,12,14
36,813,826,43,1,11,5,4,2,19,12,7,14,8,19
37,813,826,57,7,11,5,2,4,18,16,2,12,10,17
38,813,826,41,2,11,6,0,5,17,13,4,12,10,18
39,813,826,17,4,11,5,3,3,14,15,-1,13,9,18
40,813,826,8,5,11,5,2,4,25,16,9,12,10,17
41,813,826,49,3,11,5,3,3,18,9,9,13,9,18
42,813,826,7,9,11,5,2,4,16,18,-2,12,10,17
43,813,826,21,10,11,5,1,5,16,22,-6,11,11,16
44,813,826,4,13,11,4,2,5,20,24,-4,10,12,14
45,813,826,53,14,11,3,3,5,10,12,-2,9,13,12
46,813,826,1,8,11,5,2,4,14,13,1,12,10,17
47,813,826,18,15,11,2,4,5,11,17,-6,8,14,10
48,813,826,39,16,11,2,2,7,11,22,-11,6,16,8
49,967,973,39,16,22,5,5,12,23,39,-16,15,29,20
50,967,973,1,6,22,10,5,7,29,24,5,25,19,35
51,967,973,18,15,22,5,5,12,19,30,-11,15,29,20
52,967,973,53,14,22,5,8,9,19,21,-2,18,26,23
53,967,973,21,2,22,13,1,8,40,34,6,27,17,40
54,967,973,7,4,22,11,2,9,35,32,3,24,20,35
55,967,973,4,5,22,11,2,9,43,42,1,24,20,35
56,967,973,49,1,22,13,4,5,33,17,16,30,14,43
57,967,973,17,3,22,11,3,8,32,30,2,25,19,36
58,967,973,8,12,22,8,3,11,33,34,-1,19,25,27
59,967,973,41,7,22,11,1,10,34,30,4,23,21,34
60,967,973,43,8,22,9,6,7,34,27,7,24,20,33
61,967,973,57,11,22,8,5,9,24,30,-6,21,23,29
62,967,973,36,9,22,9,4,9,29,31,-2,22,22,31
63,967,973,28,10,22,8,7,7,30,23,7,23,21,31
64,967,973,48,13,22,7,3,12,16,29,-13,17,27,24
65,1212,1218,36,6,15,8,3,4,24,17,7,19,11,27
66,1212,1218,48,10,15,4,4,7,12,21,-9,12,18,16
67,1212,1218,28,15,15,2,6,7,20,29,-9,10,20,12
68,1212,1218,43,1,15,11,3,1,45,12,33,25,5,36
69,1212,1218,57,11,15,4,3,8,12,25,-13,11,19,15
70,1212,1218,24,16,15,1,3,11,10,30,-20,5,25,6
71,1212,1218,8,3,15,8,5,2,22,15,7,21,9,29
72,1212,1218,17,12,15,3,6,6,18,19,-1,12,18,15
73,1212,1218,49,2,15,8,5,2,28,14,14,21,9,29
74,1212,1218,41,5,15,8,3,4,24,16,8,19,11,27
75,1212,1218,21,7,15,5,6,4,20,16,4,16,14,21
76,1212,1218,4,8,15,6,2,7,22,27,-5,14,16,20
77,1212,1218,7,14,15,2,7,6,15,26,-11,11,19,13
78,1212,1218,53,4,15,8,4,3,30,17,13,20,10,28
79,169,175,28,13,22,7,5,10,19,29,-10,19,25,26
80,169,175,50,16,22,2,7,13,20,45,-25,11,33,13
81,169,175,43,2,22,11,7,4,44,23,21,29,15,40
82,169,175,34,6,22,9,6,7,40,49,-9,24,20,33
83,169,175,41,4,22,9,10,3,33,19,14,28,16,37
84,169,175,49,1,22,12,7,3,44,22,22,31,13,43
85,169,175,19,7,22,10,2,10,43,35,8,22,22,32
86,169,175,17,9,22,8,5,9,28,37,-9,21,23,29
87,169,175,7,5,22,10,6,6,34,27,7,26,18,36
88,169,175,4,11,22,7,7,8,36,30,6,21,23,28
89,169,175,21,12,22,7,6,9,36,35,1,20,24,27
90,169,175,53,3,22,11,4,7,40,31,9,26,18,37
91,169,175,1,8,22,7,9,6,34,31,3,23,21,30
92,169,175,18,14,22,5,10,7,19,29,-10,20,24,25
93,169,175,39,10,22,9,1,12,31,38,-7,19,25,28
94,169,175,29,15,22,4,4,14,16,37,-21,12,32,16
95,218,224,29,15,26,5,5,16,21,44,-23,15,37,20
96,218,224,1,10,26,8,10,8,40,42,-2,26,26,34
97,218,224,18,14,26,5,12,9,22,38,-16,22,30,27
98,218,224,39,12,26,10,2,14,37,46,-9,22,30,32
99,218,224,53,5,26,11,5,10,40,35,5,27,25,38
100,218,224,7,4,26,12,7,7,40,32,8,31,21,43
101,218,224,21,9,26,9,7,10,41,39,2,25,27,34
102,218,224,4,13,26,8,8,10,41,36,5,24,28,32
103,218,224,19,6,26,11,4,11,46,38,8,26,26,37
104,218,224,17,11,26,9,6,11,37,46,-9,24,28,33
105,218,224,49,1,26,15,8,3,50,23,27,38,14,53
106,218,224,41,2,26,13,10,3,43,20,23,36,16,49
107,218,224,43,3,26,13,7,6,48,27,21,33,19,46
108,218,224,34,7,26,9,9,8,44,55,-11,27,25,36
109,218,224,28,8,26,10,5,11,27,32,-5,25,27,35
110,218,224,50,16,26,4,7,15,24,48,-24,15,37,19
111,540,560,36,9,24,8,6,10,29,37,-8,22,26,30
112,540,560,28,11,24,7,6,11,38,36,2,20,28,27
113,540,560,43,1,24,20,3,1,65,19,46,43,5,63
114,540,560,57,15,24,6,5,13,34,55,-21,17,31,23
115,540,560,34,16,24,5,5,14,21,45,-24,15,33,20
116,540,560,41,5,24,10,7,7,25,20,5,27,21,37
117,540,560,49,2,24,14,3,7,43,23,20,31,17,45
118,540,560,17,10,24,8,4,12,39,45,-6,20,28,28
119,540,560,19,14,24,6,7,11,33,49,-16,19,29,25
120,540,560,21,3,24,11,8,5,46,35,11,30,18,41
121,540,560,4,6,24,9,7,8,32,38,-6,25,23,34
122,540,560,7,7,24,8,8,8,36,36,0,24,24,32
123,540,560,53,12,24,6,9,9,25,32,-7,21,27,27
124,540,560,1,4,24,11,7,6,34,26,8,29,19,40
125,540,560,18,13,24,7,5,12,28,31,-3,19,29,26
126,540,560,39,8,24,9,4,11,30,31,-1,22,26,31
127,561,567,39,8,25,9,4,12,31,33,-2,22,28,31
128,561,567,1,4,25,11,7,7,35,28,7,29,21,40
129,561,567,18,13,25,7,5,13,28,33,-5,19,31,26
130,561,567,53,12,25,6,9,10,25,34,-9,21,29,27
131,561,567,21,3,25,12,8,5,48,36,12,32,18,44
132,561,567,4,6,25,10,7,8,34,38,-4,27,23,37
133,561,567,7,7,25,8,8,9,36,38,-2,24,26,32
134,561,567,17,9,25,9,4,12,41,46,-5,22,28,31
135,561,567,19,15,25,6,8,11,34,50,-16,20,30,26
136,561,567,49,2,25,14,3,8,44,25,19,31,19,45
137,561,567,41,5,25,11,7,7,27,20,7,29,21,40
138,561,567,43,1,25,21,3,1,67,19,48,45,5,66
139,561,567,57,14,25,7,5,13,36,56,-20,19,31,26
140,561,567,34,16,25,6,5,14,24,47,-23,17,33,23
141,561,567,36,10,25,8,6,11,31,40,-9,22,28,30
142,561,567,28,11,25,7,7,11,39,37,2,21,29,28
143,750,756,28,8,4,2,0,2,8,8,0,4,4,6
144,750,756,48,10,4,2,0,2,4,6,-2,4,4,6
145,750,756,36,12,4,1,1,2,5,5,0,3,5,4
146,750,756,43,2,4,2,2,0,7,3,4,6,2,8
147,750,756,57,5,4,2,1,1,7,6,1,5,3,7
148,750,756,41,7,4,2,0,2,9,7,2,4,4,6
149,750,756,49,13,4,1,1,2,3,4,-1,3,5,4
150,750,756,8,3,4,2,1,1,14,7,7,5,3,7
151,750,756,17,6,4,2,1,1,5,6,-1,5,3,7
152,750,756,4,1,4,3,0,1,11,7,4,6,2,9
153,750,756,21,4,4,2,1,1,8,7,1,5,3,7
154,750,756,7,11,4,2,0,2,7,10,-3,4,4,6
155,750,756,53,15,4,0,2,2,4,8,-4,2,6,2
156,750,756,1,9,4,2,0,2,3,3,0,4,4,6
157,750,756,18,14,4,1,1,2,2,6,-4,3,5,4
158,85,91,34,3,10,6,1,3,22,22,0,13,7,19
159,85,91,43,4,10,5,3,2,26,12,14,13,7,18
160,85,91,28,14,10,2,2,6,7,18,-11,6,14,8
161,85,91,50,16,10,1,2,7,8,23,-15,4,16,5
162,85,91,17,8,10,5,0,5,13,20,-7,10,10,15
163,85,91,19,10,10,4,2,4,18,14,4,10,10,14
164,85,91,49,1,10,7,2,1,20,7,13,16,4,23
165,85,91,41,2,10,6,3,1,14,8,6,15,5,21
166,85,91,7,5,10,5,2,3,19,17,2,12,8,17
167,85,91,4,11,10,4,2,4,17,13,4,10,10,14
168,85,91,21,13,10,2,2,6,16,20,-4,6,14,8
169,85,91,53,6,10,5,1,4,20,15,5,11,9,16
170,85,91,18,9,10,4,3,3,12,13,-1,11,9,15
171,85,91,1,12,10,2,5,3,12,15,-3,9,11,11
172,85,91,39,7,10,5,0,5,17,13,4,10,10,15
173,85,91,29,15,10,1,2,7,7,18,-11,4,16,5
174,8,14,29,11,2,0,1,1,2,3,-1,1,3,1
175,8,14,39,3,2,2,0,0,5,1,4,4,0,6
176,8,14,7,4,2,2,0,0,5,3,2,4,0,6
177,8,14,4,7,2,1,0,1,4,2,2,2,2,3
178,8,14,21,13,2,0,0,2,4,6,-2,0,4,0
179,8,14,53,9,2,1,0,1,1,3,-2,2,2,3
180,8,14,41,4,2,2,0,0,5,3,2,4,0,6
181,8,14,49,2,2,2,0,0,5,0,5,4,0,6
182,8,14,50,14,2,0,0,2,1,4,-3,0,4,0
183,8,14,28,15,2,0,0,2,0,5,-5,0,4,0
184,8,14,19,1,2,2,0,0,8,1,7,4,0,6
185,8,14,17,10,2,1,0,1,1,5,-4,2,2,3
186,8,14,43,6,2,1,0,1,9,3,6,2,2,3
187,8,14,34,8,2,1,0,1,3,5,-2,2,2,3
188,8,14,1,11,2,0,1,1,2,3,-1,1,3,1
189,8,14,18,16,2,0,0,2,0,8,-8,0,4,0
190,162,168,1,8,21,7,8,6,32,29,3,22,20,29
191,162,168,18,14,21,4,10,7,18,29,-11,18,24,22
192,162,168,43,2,21,11,6,4,43,22,21,28,14,39
193,162,168,34,7,21,9,5,7,38,47,-9,23,19,32
194,162,168,28,13,21,7,5,9,19,28,-9,19,23,26
195,162,168,50,16,21,2,6,13,18,43,-25,10,32,12
196,162,168,49,1,21,12,6,3,43,21,22,30,12,42
197,162,168,19,6,21,10,2,9,43,33,10,22,20,32
198,162,168,17,10,21,8,4,9,27,36,-9,20,22,28
199,162,168,41,5,21,8,10,3,32,19,13,26,16,34
200,162,168,53,4,21,10,4,7,38,30,8,24,18,34
201,162,168,7,3,21,10,6,5,33,25,8,26,16,36
202,162,168,4,11,21,7,6,8,35,29,6,20,22,27
203,162,168,21,12,21,7,5,9,34,33,1,19,23,26
204,162,168,39,9,21,9,1,11,31,37,-6,19,23,28
205,162,168,29,15,21,3,4,14,14,37,-23,10,32,13
206,225,231,29,15,27,5,5,17,23,47,-24,15,39,20
207,225,231,39,13,27,10,2,15,37,49,-12,22,32,32
208,225,231,1,11,27,8,10,9,41,46,-5,26,28,34
209,225,231,18,14,27,6,12,9,24,38,-14,24,30,30
210,225,231,7,4,27,12,7,8,40,35,5,31,23,43
211,225,231,4,9,27,9,8,10,45,37,8,26,28,35
212,225,231,21,10,27,9,7,11,41,41,0,25,29,34
213,225,231,53,5,27,12,5,10,43,37,6,29,25,41
214,225,231,41,2,27,14,10,3,44,20,24,38,16,52
215,225,231,19,6,27,12,4,11,47,38,9,28,26,40
216,225,231,17,12,27,9,6,12,37,52,-15,24,30,33
217,225,231,49,1,27,16,8,3,56,23,33,40,14,56
218,225,231,28,7,27,11,5,11,30,32,-2,27,27,38
219,225,231,50,16,27,4,7,16,24,49,-25,15,39,19
220,225,231,43,3,27,14,7,6,51,27,24,35,19,49
221,225,231,34,8,27,9,9,9,44,56,-12,27,27,36
222,22,35,43,4,4,2,1,1,12,4,8,5,3,7
223,22,35,34,5,4,2,1,1,7,5,2,5,3,7
224,22,35,19,6,4,2,0,2,9,5,4,4,4,6
225,22,35,17,13,4,1,0,3,4,12,-8,2,6,3
226,22,35,28,12,4,1,0,3,2,8,-6,2,6,3
227,22,35,50,16,4,0,1,3,2,9,-7,1,7,1
228,22,35,49,3,4,3,1,0,8,0,8,7,1,10
229,22,35,41,2,4,4,0,0,8,4,4,8,0,12
230,22,35,53,9,4,2,0,2,5,7,-2,4,4,6
231,22,35,7,1,4,4,0,0,12,7,5,8,0,12
232,22,35,4,7,4,2,0,2,8,5,3,4,4,6
233,22,35,21,10,4,1,1,2,5,6,-1,3,5,4
234,22,35,18,11,4,1,1,2,4,9,-5,3,5,4
235,22,35,1,14,4,0,3,1,3,4,-1,3,5,3
236,22,35,39,8,4,2,0,2,6,4,2,4,4,6
237,22,35,29,15,4,0,1,3,2,8,-6,1,7,1
238,36,42,29,15,5,0,1,4,2,10,-8,1,9,1
239,120,126,19,7,15,7,2,6,31,21,10,16,14,23
240,120,126,17,10,15,6,1,8,19,30,-11,13,17,19
241,120,126,41,2,15,7,7,1,22,15,7,21,9,28
242,120,126,28,12,15,5,3,7,13,22,-9,13,17,18
243,120,126,50,15,15,2,4,9,15,31,-16,8,22,10
244,120,126,43,5,15,7,4,4,28,18,10,18,12,25
245,120,126,34,6,15,7,3,5,29,30,-1,17,13,24
246,120,126,49,1,15,8,4,3,28,15,13,20,10,28
247,120,126,53,3,15,8,2,5,30,22,8,18,12,26
248,120,126,7,4,15,8,2,5,27,21,6,18,12,26
249,120,126,4,9,15,6,4,5,27,19,8,16,14,22
250,120,126,21,14,15,4,3,8,21,27,-6,11,19,15
251,120,126,1,11,15,4,7,4,20,19,1,15,15,19
252,120,126,18,13,15,4,6,5,14,21,-7,14,16,18
253,120,126,39,8,15,7,1,7,25,21,4,15,15,22
254,120,126,29,16,15,2,3,10,11,28,-17,7,23,9
255,183,203,29,15,24,5,4,15,20,41,-21,14,34,19
256,183,203,39,13,24,9,1,14,34,44,-10,19,29,28
257,183,203,1,8,24,8,9,7,37,35,2,25,23,33
258,183,203,18,14,24,5,11,8,20,33,-13,21,27,26
259,183,203,53,5,24,11,4,9,40,34,6,26,22,37
260,183,203,7,4,24,12,6,6,39,30,9,30,18,42
261,183,203,21,10,24,8,7,9,39,37,2,23,25,31
262,183,203,4,12,24,7,8,9,37,33,4,22,26,29
263,183,203,49,1,24,14,7,3,47,22,25,35,13,49
264,183,203,43,2,24,12,7,5,46,24,22,31,17,43
265,183,203,34,6,24,9,7,8,42,53,-11,25,23,34
266,183,203,28,9,24,9,5,10,26,30,-4,23,25,32
267,183,203,50,16,24,3,7,14,22,47,-25,13,35,16
268,183,203,41,3,24,11,10,3,38,20,18,32,16,43
269,183,203,19,7,24,10,3,11,44,37,7,23,25,33
270,183,203,17,11,24,8,6,10,31,42,-11,22,26,30
271,442,448,19,15,11,2,3,6,16,30,-14,7,15,9
272,442,448,17,16,11,1,2,8,18,29,-11,4,18,5
273,442,448,41,3,11,6,2,3,17,10,7,14,8,20
274,442,448,36,9,11,4,2,5,16,18,-2,10,12,14
275,442,448,28,12,11,3,3,5,20,18,2,9,13,12
276,442,448,43,1,11,8,2,1,29,9,20,18,4,26
277,442,448,34,10,11,4,2,5,13,18,-5,10,12,14
278,442,448,57,11,11,4,1,6,21,30,-9,9,13,13
279,442,448,49,2,11,7,2,2,27,12,15,16,6,23
280,442,448,4,6,11,5,3,3,17,21,-4,13,9,18
281,442,448,21,7,11,4,3,4,21,19,2,11,11,15
282,442,448,7,13,11,2,4,5,15,21,-6,8,14,10
283,442,448,53,5,11,5,5,1,14,9,5,15,7,20
284,442,448,39,14,11,2,3,6,11,16,-5,7,15,9
285,442,448,1,4,11,6,2,3,15,12,3,14,8,20
286,442,448,18,8,11,4,3,4,15,13,2,11,11,15
287,456,462,1,3,13,7,3,3,19,13,6,17,9,24
288,456,462,18,8,13,4,4,5,17,17,0,12,14,16
289,456,462,39,15,13,3,3,7,15,19,-4,9,17,12
290,456,462,53,5,13,5,6,2,16,14,2,16,10,21
291,456,462,4,4,13,7,3,3,21,21,0,17,9,24
292,456,462,21,9,13,4,4,5,23,25,-2,12,14,16
293,456,462,7,12,13,3,5,5,19,24,-5,11,15,14
294,456,462,49,2,13,9,2,2,31,12,19,20,6,29
295,456,462,43,1,13,10,2,1,34,10,24,22,4,32
296,456,462,34,10,13,4,2,7,13,21,-8,10,16,14
297,456,462,57,11,13,4,2,7,22,34,-12,10,16,14
298,456,462,36,7,13,5,2,6,17,21,-4,12,14,17
299,456,462,28,13,13,3,4,6,20,20,0,10,16,13
300,456,462,41,6,13,6,2,5,17,13,4,14,12,20
301,456,462,19,14,13,3,4,6,19,31,-12,10,16,13
302,456,462,17,16,13,2,2,9,24,32,-8,6,20,8
303,484,490,19,15,16,3,4,9,20,38,-18,10,22,13
304,484,490,17,16,16,3,2,11,26,36,-10,8,24,11
305,484,490,36,6,16,7,3,6,21,22,-1,17,15,24
306,484,490,28,13,16,4,4,8,24,24,0,12,20,16
307,484,490,43,1,16,13,2,1,46,13,33,28,4,41
308,484,490,34,11,16,5,2,9,15,28,-13,12,20,17
309,484,490,57,12,16,5,2,9,27,41,-14,12,20,17
310,484,490,49,2,16,10,3,3,32,14,18,23,9,33
311,484,490,4,5,16,7,5,4,21,22,-1,19,13,26
312,484,490,21,7,16,6,5,5,27,26,1,17,15,23
313,484,490,7,9,16,5,6,5,26,25,1,16,16,21
314,484,490,53,8,16,5,7,4,17,20,-3,17,15,22
315,484,490,1,3,16,9,3,4,23,15,8,21,11,30
316,484,490,18,14,16,4,4,8,18,22,-4,12,20,16
317,484,490,41,4,16,8,3,5,19,13,6,19,13,27
318,92,98,28,14,11,2,2,7,7,20,-13,6,16,8
319,92,98,50,15,11,1,3,7,10,25,-15,5,17,6
320,92,98,34,3,11,7,1,3,24,22,2,15,7,22
321,92,98,43,4,11,6,3,2,27,12,15,15,7,21
322,92,98,19,5,11,5,2,4,23,14,9,12,10,17
323,92,98,17,9,11,5,0,6,14,22,-8,10,12,15
324,92,98,49,1,11,7,3,1,20,7,13,17,5,24
325,92,98,41,2,11,7,3,1,17,10,7,17,5,24
326,92,98,7,6,11,5,2,4,19,18,1,12,10,17
327,92,98,4,10,11,4,3,4,19,15,4,11,11,15
328,92,98,21,13,11,3,2,6,18,21,-3,8,14,11
329,92,98,53,7,11,5,1,5,22,18,4,11,11,16
330,92,98,18,11,11,4,3,4,12,18,-6,11,11,15
331,92,98,1,12,11,3,5,3,14,15,-1,11,11,14
332,92,98,39,8,11,5,1,5,17,13,4,11,11,16
333,92,98,29,16,11,1,2,8,7,20,-13,4,18,5
334,463,469,39,11,14,4,3,7,18,20,-2,11,17,15
335,463,469,1,3,14,8,3,3,20,13,7,19,9,27
336,463,469,18,10,14,4,4,6,18,19,-1,12,16,16
337,463,469,53,6,14,5,6,3,17,19,-2,16,12,21
338,463,469,4,4,14,7,4,3,21,21,0,18,10,25
339,463,469,21,8,14,5,4,5,25,26,-1,14,14,19
340,463,469,7,9,14,4,5,5,24,24,0,13,15,17
341,463,469,41,5,14,7,2,5,18,13,5,16,12,23
342,463,469,49,2,14,9,3,2,31,12,19,21,7,30
343,463,469,19,15,14,3,4,7,19,32,-13,10,18,13
344,463,469,17,16,14,2,2,10,25,35,-10,6,22,8
345,463,469,36,7,14,6,2,6,19,22,-3,14,14,20
346,463,469,28,14,14,3,4,7,20,21,-1,10,18,13
347,463,469,43,1,14,11,2,1,39,11,28,24,4,35
348,463,469,34,12,14,4,2,8,14,23,-9,10,18,14
349,463,469,57,13,14,4,2,8,22,39,-17,10,18,14
350,498,504,36,6,18,8,3,7,26,26,0,19,17,27
351,498,504,28,12,18,5,4,9,29,28,1,14,22,19
352,498,504,43,1,18,15,2,1,50,15,35,32,4,47
353,498,504,57,11,18,6,2,10,31,43,-12,14,22,20
354,498,504,34,13,18,5,3,10,18,35,-17,13,23,18
355,498,504,17,14,18,5,2,11,30,38,-8,12,24,17
356,498,504,19,16,18,3,6,9,24,42,-18,12,24,15
357,498,504,49,2,18,12,3,3,36,14,22,27,9,39
358,498,504,41,5,18,8,3,7,19,17,2,19,17,27
359,498,504,4,4,18,8,6,4,26,24,2,22,14,30
360,498,504,21,7,18,7,6,5,31,28,3,20,16,27
361,498,504,7,9,18,5,7,6,28,29,-1,17,19,22
362,498,504,53,8,18,5,8,5,19,23,-4,18,18,23
363,498,504,1,3,18,9,4,5,24,19,5,22,14,31
364,498,504,18,15,18,4,4,10,18,24,-6,12,24,16
365,498,504,39,10,18,6,3,9,22,26,-4,15,21,21
366,533,539,39,9,23,8,4,11,28,31,-3,20,26,28
367,533,539,1,4,23,10,7,6,33,26,7,27,19,37
368,533,539,18,13,23,6,5,12,26,31,-5,17,29,23
369,533,539,53,11,23,6,9,8,25,31,-6,21,25,27
370,533,539,21,3,23,11,7,5,44,33,11,29,17,40
371,533,539,4,6,23,9,7,7,31,36,-5,25,21,34
372,533,539,7,7,23,8,7,8,36,36,0,23,23,31
373,533,539,41,5,23,10,6,7,25,20,5,26,20,36
374,533,539,49,2,23,14,3,6,43,21,22,31,15,45
375,533,539,17,12,23,7,4,12,37,44,-7,18,28,25
376,533,539,19,15,23,5,7,11,31,49,-18,17,29,22
377,533,539,43,1,23,19,3,1,63,19,44,41,5,60
378,533,539,57,14,23,6,5,12,34,53,-19,17,29,23
379,533,539,34,16,23,5,5,13,21,43,-22,15,31,20
380,533,539,36,8,23,8,5,10,27,35,-8,21,25,29
381,533,539,28,10,23,7,6,10,38,34,4,20,26,27
382,400,406,28,11,6,1,2,3,10,10,0,4,8,5
383,400,406,36,16,6,0,1,5,3,11,-8,1,11,1
384,400,406,43,1,6,5,1,0,18,4,14,11,1,16
385,400,406,34,2,6,4,1,1,11,6,5,9,3,13
386,400,406,57,10,6,2,0,4,11,19,-8,4,8,6
387,400,406,19,13,6,1,2,3,8,15,-7,4,8,5
388,400,406,17,15,6,0,2,4,10,16,-6,2,10,2
389,400,406,49,6,6,3,2,1,9,7,2,8,4,11
390,400,406,41,9,6,2,1,3,7,7,0,5,7,7
391,400,406,4,4,6,4,1,1,13,11,2,9,3,13
392,400,406,21,7,6,3,1,2,15,10,5,7,5,10
393,400,406,7,14,6,0,4,2,7,12,-5,4,8,4
394,400,406,53,5,6,3,3,0,9,5,4,9,3,12
395,400,406,1,3,6,4,1,1,9,6,3,9,3,13
396,400,406,18,8,6,3,0,3,12,10,2,6,6,9
397,134,140,28,12,17,6,3,8,14,23,-9,15,19,21
398,134,140,50,15,17,2,5,10,15,35,-20,9,25,11
399,134,140,43,5,17,7,6,4,29,19,10,20,14,27
400,134,140,34,8,17,7,4,6,33,38,-5,18,16,25
401,134,140,7,3,17,9,3,5,29,22,7,21,13,30
402,134,140,4,10,17,6,5,6,28,22,6,17,17,23
403,134,140,21,14,17,5,4,8,27,29,-2,14,20,19
404,134,140,19,6,17,8,2,7,36,24,12,18,16,26
405,134,140,17,9,17,7,2,8,22,31,-9,16,18,23
406,134,140,41,4,17,7,9,1,23,16,7,23,11,30
407,134,140,49,1,17,9,5,3,32,18,14,23,11,32
408,134,140,53,2,17,9,3,5,32,22,10,21,13,30
409,134,140,1,11,17,5,7,5,24,24,0,17,17,22
410,134,140,18,13,17,4,8,5,15,22,-7,16,18,20
411,134,140,39,7,17,8,1,8,29,23,6,17,17,25
412,134,140,29,16,17,2,3,12,12,32,-20,7,27,9
413,148,154,29,16,19,2,4,13,12,36,-24,8,30,10
414,148,154,39,9,19,8,1,10,30,35,-5,17,21,25
415,148,154,1,8,19,6,8,5,28,25,3,20,18,26
416,148,154,18,14,19,4,8,7,16,27,-11,16,22,20
417,148,154,53,2,19,10,4,5,36,24,12,24,14,34
418,148,154,49,1,19,11,5,3,38,18,20,27,11,38
419,148,154,41,5,19,8,9,2,32,17,15,25,13,33
420,148,154,19,6,19,9,2,8,39,28,11,20,18,29
421,148,154,17,11,19,7,4,8,25,34,-9,18,20,25
422,148,154,7,3,19,10,4,5,32,24,8,24,14,34
423,148,154,4,12,19,6,5,8,30,26,4,17,21,23
424,148,154,21,13,19,6,5,8,31,31,0,17,21,23
425,148,154,43,4,19,9,6,4,40,21,19,24,14,33
426,148,154,34,7,19,8,4,7,34,45,-11,20,18,28
427,148,154,28,10,19,7,4,8,17,25,-8,18,20,25
428,148,154,50,15,19,2,5,12,15,39,-24,9,29,11
429,155,161,28,12,20,7,4,9,17,26,-9,18,22,25
430,155,161,50,15,20,2,6,12,18,42,-24,10,30,12
431,155,161,43,2,20,10,6,4,41,21,20,26,14,36
432,155,161,34,7,20,9,4,7,36,45,-9,22,18,31
433,155,161,7,3,20,10,5,5,32,24,8,25,15,35
434,155,161,21,9,20,7,5,8,34,31,3,19,21,26
435,155,161,4,13,20,6,6,8,31,27,4,18,22,24
436,155,161,19,6,20,10,2,8,41,29,12,22,18,32
437,155,161,17,8,20,8,4,8,26,34,-8,20,20,28
438,155,161,41,5,20,8,10,2,32,17,15,26,14,34
439,155,161,49,1,20,11,6,3,41,21,20,28,12,39
440,155,161,53,4,20,10,4,6,36,27,9,24,16,34
441,155,161,1,10,20,6,8,6,29,27,2,20,20,26
442,155,161,18,14,20,4,9,7,17,28,-11,17,23,21
443,155,161,39,11,20,8,1,11,30,37,-7,17,23,25
444,155,161,29,16,20,2,4,14,12,37,-25,8,32,10
445,15,21,29,14,3,0,1,2,2,5,-3,1,5,1
446,15,21,39,5,3,2,0,1,5,2,3,4,2,6
447,15,21,1,13,3,0,2,1,3,4,-1,2,4,2
448,15,21,18,16,3,0,1,2,0,8,-8,1,5,1
449,15,21,53,6,3,2,0,1,4,3,1,4,2,6
450,15,21,49,3,3,2,1,0,5,0,5,5,1,7
451,15,21,41,2,3,3,0,0,6,3,3,6,0,9
452,15,21,19,4,3,2,0,1,8,2,6,4,2,6
453,15,21,17,12,3,1,0,2,1,8,-7,2,4,3
